symbol,window_idx,window_start,window_end,decision_raw,position,latency_s,attempts,error
BTC-USD,0,2023-01-01,2023-02-14,HOLD,0.0,332.81,1,
BTC-USD,1,2023-02-15,2023-03-31,HOLD,0.0,329.77,1,
BTC-USD,2,2023-04-01,2023-05-15,HOLD,0.0,318.39,1,
BTC-USD,3,2023-05-16,2023-06-29,HOLD,0.0,387.18,1,
BTC-USD,4,2023-06-30,2023-08-13,SELL,-1.0,282.35,1,
BTC-USD,5,2023-08-14,2023-09-27,HOLD,0.0,331.6,1,
BTC-USD,6,2023-09-28,2023-11-11,SELL,-1.0,322.62,1,
BTC-USD,7,2023-11-12,2023-12-26,SELL,-1.0,278.5,1,
BTC-USD,8,2023-12-27,2024-02-09,HOLD,0.0,304.87,1,
BTC-USD,9,2024-02-10,2024-03-25,SELL,-1.0,403.96,1,
BTC-USD,10,2024-03-26,2024-05-09,HOLD,0.0,302.61,1,
BTC-USD,11,2024-05-10,2024-06-23,SELL,-1.0,358.86,1,
BTC-USD,12,2024-06-24,2024-08-07,HOLD,0.0,349.02,1,
BTC-USD,13,2024-08-08,2024-09-21,SELL,-1.0,312.84,1,
BTC-USD,14,2024-09-22,2024-11-05,SELL,-1.0,304.61,1,
BTC-USD,15,2024-11-06,2024-12-20,HOLD,0.0,303.34,1,
BTC-USD,16,2024-12-21,2025-02-03,HOLD,0.0,285.94,1,
BTC-USD,17,2025-02-04,2025-03-20,SELL,-1.0,375.01,1,
BTC-USD,18,2025-03-21,2025-05-04,SELL,-1.0,301.75,1,
BTC-USD,19,2025-05-05,2025-06-18,HOLD,0.0,417.18,1,
BTC-USD,20,2025-06-19,2025-08-02,HOLD,0.0,416.97,1,
BTC-USD,21,2025-08-03,2025-09-16,HOLD,0.0,332.47,1,
BTC-USD,22,2025-09-17,2025-10-31,SELL,-1.0,394.45,1,
BTC-USD,23,2025-11-01,2025-12-15,SELL,-1.0,337.03,1,
BTC-USD,24,2025-12-16,2025-12-31,HOLD,0.0,328.22,1,
