symbol,window_idx,window_start,window_end,decision_raw,position,latency_s,attempts,error
BTC-USD,0,2023-01-01,2023-02-14,HOLD,0.0,343.07,1,
BTC-USD,1,2023-02-15,2023-03-31,SELL,-1.0,258.82,1,
BTC-USD,2,2023-04-01,2023-05-15,SELL,-1.0,227.96,1,
BTC-USD,3,2023-05-16,2023-06-29,SELL,-1.0,223.36,1,
BTC-USD,4,2023-06-30,2023-08-13,HOLD,0.0,212.63,1,
BTC-USD,5,2023-08-14,2023-09-27,SELL,-1.0,225.25,1,
BTC-USD,6,2023-09-28,2023-11-11,HOLD,0.0,306.27,1,
BTC-USD,7,2023-11-12,2023-12-26,HOLD,0.0,211.93,1,
BTC-USD,8,2023-12-27,2024-02-09,HOLD,0.0,194.5,1,
BTC-USD,9,2024-02-10,2024-03-25,HOLD,0.0,197.15,1,
BTC-USD,10,2024-03-26,2024-05-09,HOLD,0.0,244.23,1,
BTC-USD,11,2024-05-10,2024-06-23,SELL,-1.0,335.02,1,
BTC-USD,12,2024-06-24,2024-08-07,HOLD,0.0,225.77,1,
BTC-USD,13,2024-08-08,2024-09-21,SELL,-1.0,237.11,1,
BTC-USD,14,2024-09-22,2024-11-05,SELL,-1.0,229.35,1,
BTC-USD,15,2024-11-06,2024-12-20,SELL,-1.0,325.27,1,
BTC-USD,16,2024-12-21,2025-02-03,HOLD,0.0,235.31,1,
BTC-USD,17,2025-02-04,2025-03-20,SELL,-1.0,268.09,1,
BTC-USD,18,2025-03-21,2025-05-04,HOLD,0.0,277.75,1,
BTC-USD,19,2025-05-05,2025-06-18,SELL,-1.0,299.46,1,
BTC-USD,20,2025-06-19,2025-08-02,BUY,1.0,242.41,1,
BTC-USD,21,2025-08-03,2025-09-16,SELL,-1.0,253.7,1,
BTC-USD,22,2025-09-17,2025-10-31,HOLD,0.0,235.32,1,
BTC-USD,23,2025-11-01,2025-12-15,HOLD,0.0,317.63,1,
BTC-USD,24,2025-12-16,2025-12-31,SELL,-1.0,312.48,1,
