date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,HOLD,0.0,379.28,1,
2025-01-02,0,SELL,-1.0,351.54,1,
2025-01-03,0,HOLD,0.0,281.27,1,
2025-01-04,0,HOLD,0.0,306.76,1,
2025-01-05,0,HOLD,0.0,316.25,1,
2025-01-06,0,SELL,-1.0,318.58,1,
2025-01-07,0,SELL,-1.0,313.11,1,
2025-01-08,0,HOLD,0.0,530.71,1,
2025-01-09,0,HOLD,0.0,336.47,1,
2025-01-10,0,HOLD,0.0,386.1,1,
2025-01-11,0,HOLD,0.0,312.17,1,
2025-01-12,0,SELL,-1.0,395.44,1,
2025-01-13,0,SELL,-1.0,307.6,1,
2025-01-14,0,SELL,-1.0,314.55,1,
2025-01-15,0,HOLD,0.0,301.04,1,
2025-01-16,0,SELL,-1.0,308.16,1,
2025-01-17,0,HOLD,0.0,291.24,1,
2025-01-18,0,SELL,-1.0,346.8,1,
2025-01-19,0,SELL,-1.0,285.6,1,
2025-01-20,0,HOLD,0.0,323.0,1,
2025-01-21,0,HOLD,0.0,294.42,1,
2025-01-22,0,HOLD,0.0,312.23,1,
2025-01-23,0,SELL,-1.0,284.38,1,
2025-01-24,0,SELL,-1.0,387.24,1,
2025-01-25,0,SELL,-1.0,307.41,1,
2025-01-26,0,SELL,-1.0,358.73,1,
2025-01-27,0,SELL,-1.0,330.19,1,
2025-01-28,0,SELL,-1.0,277.19,1,
2025-01-29,0,SELL,-1.0,313.05,1,
2025-01-30,0,HOLD,0.0,302.0,1,
2025-01-31,0,SELL,-1.0,413.02,1,
2025-02-01,0,HOLD,0.0,324.25,1,
2025-02-02,0,HOLD,0.0,326.15,1,
2025-02-03,0,SELL,-1.0,358.28,1,
2025-02-04,0,SELL,-1.0,319.73,1,
2025-02-05,0,HOLD,0.0,336.17,1,
2025-02-06,0,SELL,-1.0,311.98,1,
2025-02-07,0,HOLD,0.0,320.0,1,
2025-02-08,0,HOLD,0.0,392.62,1,
2025-02-09,0,SELL,-1.0,426.94,1,
2025-02-10,0,HOLD,0.0,309.29,1,
2025-02-11,0,HOLD,0.0,365.07,1,
2025-02-12,0,SELL,-1.0,326.96,1,
2025-02-13,0,SELL,-1.0,320.98,1,
2025-02-14,0,HOLD,0.0,314.67,1,
2025-02-15,0,HOLD,0.0,328.23,1,
2025-02-16,0,HOLD,0.0,312.73,1,
2025-02-17,0,HOLD,0.0,313.83,1,
2025-02-18,0,SELL,-1.0,294.08,1,
2025-02-19,0,HOLD,0.0,325.57,1,
2025-02-20,0,HOLD,0.0,267.86,1,
2025-02-21,0,HOLD,0.0,328.35,1,
2025-02-22,0,HOLD,0.0,307.86,1,
2025-02-23,0,HOLD,0.0,383.26,1,
2025-02-24,0,HOLD,0.0,357.49,1,
2025-02-25,0,HOLD,0.0,380.34,1,
2025-02-26,0,HOLD,0.0,497.47,1,
2025-02-27,0,BUY,1.0,310.59,1,
2025-02-28,0,SELL,-1.0,338.63,1,
2025-03-01,0,HOLD,0.0,306.05,1,
2025-03-02,0,SELL,-1.0,305.76,1,
2025-03-03,0,HOLD,0.0,321.67,1,
2025-03-04,0,HOLD,0.0,359.55,1,
2025-03-05,0,SELL,-1.0,309.09,1,
2025-03-06,0,HOLD,0.0,364.7,1,
2025-03-07,0,HOLD,0.0,446.75,1,
