date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,HOLD,0.0,471.83,1,
2025-10-28,0,SELL,-1.0,350.37,1,
2025-10-29,0,BUY,1.0,393.61,1,
2025-10-30,0,SELL,-1.0,292.18,1,
2025-10-31,0,HOLD,0.0,356.37,1,
2025-11-01,0,HOLD,0.0,343.91,1,
2025-11-02,0,HOLD,0.0,356.41,1,
2025-11-03,0,HOLD,0.0,307.46,1,
2025-11-04,0,HOLD,0.0,358.83,1,
2025-11-05,0,SELL,-1.0,301.84,1,
2025-11-06,0,HOLD,0.0,528.27,2,
2025-11-07,0,HOLD,0.0,452.18,1,
2025-11-08,0,SELL,-1.0,286.27,1,
2025-11-09,0,SELL,-1.0,285.35,1,
2025-11-10,0,HOLD,0.0,315.13,1,
2025-11-11,0,HOLD,0.0,329.52,1,
2025-11-12,0,HOLD,0.0,422.78,1,
2025-11-13,0,HOLD,0.0,273.72,1,
2025-11-14,0,SELL,-1.0,299.5,1,
2025-11-15,0,HOLD,0.0,296.05,1,
2025-11-16,0,HOLD,0.0,344.33,1,
2025-11-17,0,HOLD,0.0,303.7,1,
2025-11-18,0,HOLD,0.0,309.21,1,
2025-11-19,0,HOLD,0.0,279.82,1,
2025-11-20,0,SELL,-1.0,324.01,1,
2025-11-21,0,HOLD,0.0,291.81,1,
2025-11-22,0,HOLD,0.0,334.65,1,
2025-11-23,0,SELL,-1.0,277.43,1,
2025-11-24,0,SELL,-1.0,300.93,1,
2025-11-25,0,HOLD,0.0,377.37,1,
