date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,SELL,-1.0,454.3,1,
2025-10-28,0,SELL,-1.0,277.06,1,
2025-10-29,0,HOLD,0.0,292.53,1,
2025-10-30,0,HOLD,0.0,274.99,1,
2025-10-31,0,HOLD,0.0,319.69,1,
2025-11-01,0,HOLD,0.0,387.18,1,
2025-11-02,0,SELL,-1.0,319.91,1,
2025-11-03,0,HOLD,0.0,315.23,1,
2025-11-04,0,SELL,-1.0,289.82,1,
2025-11-05,0,HOLD,0.0,295.2,1,
2025-11-06,0,HOLD,0.0,402.9,1,
2025-11-07,0,HOLD,0.0,293.94,1,
2025-11-08,0,SELL,-1.0,315.65,1,
2025-11-09,0,HOLD,0.0,300.62,1,
2025-11-10,0,SELL,-1.0,357.13,1,
2025-11-11,0,HOLD,0.0,270.9,1,
2025-11-12,0,SELL,-1.0,331.22,1,
2025-11-13,0,SELL,-1.0,316.3,1,
2025-11-14,0,HOLD,0.0,289.3,1,
2025-11-15,0,BUY,1.0,291.64,1,
2025-11-16,0,SELL,-1.0,275.21,1,
2025-11-17,0,HOLD,0.0,271.84,1,
2025-11-18,0,SELL,-1.0,301.34,1,
2025-11-19,0,SELL,-1.0,319.63,1,
2025-11-20,0,HOLD,0.0,374.45,1,
2025-11-21,0,SELL,-1.0,252.95,1,
2025-11-22,0,HOLD,0.0,303.52,1,
2025-11-23,0,HOLD,0.0,348.07,1,
2025-11-24,0,SELL,-1.0,306.64,1,
2025-11-25,0,HOLD,0.0,287.27,1,
