date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,SELL,-1.0,316.89,1,
2025-01-02,0,SELL,-1.0,242.1,1,
2025-01-03,0,SELL,-1.0,217.75,1,
2025-01-04,0,SELL,-1.0,290.26,1,
2025-01-05,0,SELL,-1.0,232.2,1,
2025-01-06,0,SELL,-1.0,243.17,1,
2025-01-07,0,HOLD,0.0,235.13,1,
2025-01-08,0,HOLD,0.0,251.71,1,
2025-01-09,0,HOLD,0.0,244.97,1,
2025-01-10,0,HOLD,0.0,220.36,1,
2025-01-11,0,HOLD,0.0,220.97,1,
2025-01-12,0,HOLD,0.0,247.85,2,
2025-01-13,0,HOLD,0.0,290.93,1,
2025-01-14,0,SELL,-1.0,242.23,1,
2025-01-15,0,HOLD,0.0,232.28,1,
2025-01-16,0,SELL,-1.0,256.23,1,
2025-01-17,0,SELL,-1.0,246.32,1,
2025-01-18,0,HOLD,0.0,279.76,1,
2025-01-19,0,HOLD,0.0,209.09,1,
2025-01-20,0,SELL,-1.0,274.28,1,
2025-01-21,0,HOLD,0.0,219.57,1,
2025-01-22,0,HOLD,0.0,212.2,1,
2025-01-23,0,SELL,-1.0,326.46,1,
2025-01-24,0,SELL,-1.0,279.21,1,
2025-01-25,0,SELL,-1.0,238.53,1,
2025-01-26,0,SELL,-1.0,234.92,1,
2025-01-27,0,SELL,-1.0,240.57,1,
2025-01-28,0,SELL,-1.0,228.81,1,
2025-01-29,0,HOLD,0.0,235.66,1,
2025-01-30,0,SELL,-1.0,247.02,1,
2025-01-31,0,SELL,-1.0,255.87,1,
2025-02-01,0,SELL,-1.0,222.49,1,
2025-02-02,0,SELL,-1.0,237.58,1,
2025-02-03,0,SELL,-1.0,243.67,1,
2025-02-04,0,SELL,-1.0,255.42,1,
2025-02-05,0,HOLD,0.0,322.88,1,
2025-02-06,0,SELL,-1.0,236.63,1,
2025-02-07,0,HOLD,0.0,336.94,1,
2025-02-08,0,SELL,-1.0,224.1,1,
2025-02-09,0,SELL,-1.0,238.46,1,
2025-02-10,0,HOLD,0.0,325.38,1,
2025-02-11,0,HOLD,0.0,226.61,1,
2025-02-12,0,SELL,-1.0,254.33,1,
2025-02-13,0,SELL,-1.0,245.1,1,
2025-02-14,0,SELL,-1.0,223.33,1,
2025-02-15,0,SELL,-1.0,245.78,1,
2025-02-16,0,HOLD,0.0,327.83,1,
2025-02-17,0,HOLD,0.0,234.08,1,
2025-02-18,0,SELL,-1.0,233.64,1,
2025-02-19,0,HOLD,0.0,299.93,1,
2025-02-20,0,SELL,-1.0,252.71,1,
2025-02-21,0,HOLD,0.0,221.81,1,
2025-02-22,0,HOLD,0.0,224.09,1,
2025-02-23,0,HOLD,0.0,231.86,1,
2025-02-24,0,HOLD,0.0,311.43,1,
2025-02-25,0,SELL,-1.0,297.1,1,
2025-02-26,0,SELL,-1.0,249.82,1,
2025-02-27,0,SELL,-1.0,251.05,1,
2025-02-28,0,HOLD,0.0,280.86,1,
2025-03-01,0,HOLD,0.0,207.74,1,
2025-03-02,0,SELL,-1.0,309.64,1,
2025-03-03,0,HOLD,0.0,315.15,1,
2025-03-04,0,SELL,-1.0,225.36,1,
2025-03-05,0,HOLD,0.0,284.72,1,
2025-03-06,0,HOLD,0.0,227.34,1,
2025-03-07,0,SELL,-1.0,295.77,1,
2025-03-08,0,SELL,-1.0,284.99,1,
2025-03-09,0,HOLD,0.0,234.2,1,
2025-03-10,0,HOLD,0.0,239.27,1,
2025-03-11,0,HOLD,0.0,244.89,1,
2025-03-12,0,HOLD,0.0,221.5,1,
2025-03-13,0,HOLD,0.0,237.16,1,
2025-03-14,0,HOLD,0.0,234.89,1,
2025-03-15,0,HOLD,0.0,225.08,1,
2025-03-16,0,SELL,-1.0,248.74,1,
2025-03-17,0,SELL,-1.0,303.61,1,
2025-03-18,0,SELL,-1.0,207.98,1,
2025-03-19,0,HOLD,0.0,276.96,1,
2025-03-20,0,SELL,-1.0,236.0,1,
2025-03-21,0,SELL,-1.0,233.07,1,
2025-03-22,0,SELL,-1.0,364.93,1,
2025-03-23,0,HOLD,0.0,230.03,1,
2025-03-24,0,HOLD,0.0,240.8,1,
2025-03-25,0,HOLD,0.0,329.95,1,
2025-03-26,0,HOLD,0.0,214.65,1,
2025-03-27,0,SELL,-1.0,273.58,2,
2025-03-28,0,SELL,-1.0,277.45,1,
2025-03-29,0,SELL,-1.0,232.53,2,
2025-03-30,0,HOLD,0.0,224.14,1,
2025-03-31,0,SELL,-1.0,234.6,1,
2025-04-01,0,HOLD,0.0,241.63,1,
2025-04-02,0,HOLD,0.0,227.38,1,
2025-04-03,0,SELL,-1.0,247.66,1,
2025-04-04,0,HOLD,0.0,254.11,1,
2025-04-05,0,SELL,-1.0,289.52,1,
2025-04-06,0,HOLD,0.0,244.93,1,
2025-04-07,0,SELL,-1.0,210.34,1,
2025-04-08,0,HOLD,0.0,237.68,1,
2025-04-09,0,HOLD,0.0,321.03,1,
2025-04-10,0,SELL,-1.0,262.37,1,
2025-04-11,0,HOLD,0.0,247.4,1,
2025-04-12,0,HOLD,0.0,311.54,1,
2025-04-13,0,HOLD,0.0,291.32,1,
2025-04-14,0,SELL,-1.0,244.54,1,
2025-04-15,0,HOLD,0.0,236.16,1,
2025-04-16,0,SELL,-1.0,233.41,1,
2025-04-17,0,SELL,-1.0,264.49,2,
2025-04-18,0,SELL,-1.0,225.22,1,
2025-04-19,0,HOLD,0.0,237.05,1,
2025-04-20,0,HOLD,0.0,228.64,1,
2025-04-21,0,SELL,-1.0,274.85,1,
2025-04-22,0,HOLD,0.0,244.22,1,
2025-04-23,0,SELL,-1.0,227.2,1,
2025-04-24,0,HOLD,0.0,314.31,1,
2025-04-25,0,SELL,-1.0,224.03,1,
2025-04-26,0,HOLD,0.0,243.02,1,
2025-04-27,0,SELL,-1.0,264.49,1,
2025-04-28,0,SELL,-1.0,231.6,1,
2025-04-29,0,SELL,-1.0,223.97,1,
2025-04-30,0,HOLD,0.0,349.84,1,
2025-05-01,0,SELL,-1.0,260.6,1,
2025-05-02,0,HOLD,0.0,254.9,1,
2025-05-03,0,SELL,-1.0,229.36,1,
2025-05-04,0,HOLD,0.0,320.53,1,
2025-05-05,0,SELL,-1.0,261.21,1,
2025-05-06,0,HOLD,0.0,223.89,1,
2025-05-07,0,SELL,-1.0,223.67,1,
2025-05-08,0,HOLD,0.0,228.7,1,
2025-05-09,0,SELL,-1.0,233.96,1,
2025-05-10,0,HOLD,0.0,259.43,1,
2025-05-11,0,SELL,-1.0,245.11,1,
2025-05-12,0,SELL,-1.0,241.49,1,
2025-05-13,0,SELL,-1.0,253.02,1,
2025-05-14,0,SELL,-1.0,239.4,1,
2025-05-15,0,SELL,-1.0,238.99,1,
2025-05-16,0,HOLD,0.0,232.92,1,
2025-05-17,0,HOLD,0.0,210.41,1,
2025-05-18,0,SELL,-1.0,264.28,1,
2025-05-19,0,BUY,1.0,235.4,1,
2025-05-20,0,HOLD,0.0,256.8,1,
2025-05-21,0,SELL,-1.0,221.13,1,
2025-05-22,0,HOLD,0.0,241.16,1,
2025-05-23,0,SELL,-1.0,249.79,2,
2025-05-24,0,HOLD,0.0,260.86,1,
2025-05-25,0,SELL,-1.0,252.26,1,
2025-05-26,0,HOLD,0.0,236.39,1,
2025-05-27,0,SELL,-1.0,226.23,1,
2025-05-28,0,SELL,-1.0,296.61,1,
2025-05-29,0,HOLD,0.0,239.97,1,
2025-05-30,0,HOLD,0.0,233.23,1,
2025-05-31,0,SELL,-1.0,238.37,1,
2025-06-01,0,SELL,-1.0,228.83,1,
2025-06-02,0,SELL,-1.0,251.06,1,
2025-06-03,0,SELL,-1.0,230.01,1,
2025-06-04,0,SELL,-1.0,317.89,2,
2025-06-05,0,HOLD,0.0,242.53,1,
2025-06-06,0,SELL,-1.0,276.24,2,
2025-06-07,0,HOLD,0.0,320.77,2,
2025-06-08,0,HOLD,0.0,248.32,1,
2025-06-09,0,SELL,-1.0,233.63,1,
2025-06-10,0,SELL,-1.0,255.78,1,
2025-06-11,0,HOLD,0.0,239.24,1,
2025-06-12,0,HOLD,0.0,225.19,1,
2025-06-13,0,HOLD,0.0,256.34,1,
2025-06-14,0,SELL,-1.0,246.14,1,
2025-06-15,0,SELL,-1.0,214.6,1,
2025-06-16,0,HOLD,0.0,223.63,1,
2025-06-17,0,SELL,-1.0,228.53,1,
2025-06-18,0,SELL,-1.0,268.48,1,
2025-06-19,0,HOLD,0.0,235.24,1,
2025-06-20,0,HOLD,0.0,300.12,1,
2025-06-21,0,SELL,-1.0,244.65,1,
2025-06-22,0,HOLD,0.0,238.69,1,
2025-06-23,0,HOLD,0.0,234.38,1,
2025-06-24,0,HOLD,0.0,237.68,1,
2025-06-25,0,SELL,-1.0,340.3,1,
2025-06-26,0,HOLD,0.0,227.79,1,
2025-06-27,0,SELL,-1.0,233.59,1,
2025-06-28,0,HOLD,0.0,237.48,1,
2025-06-29,0,HOLD,0.0,223.22,1,
2025-06-30,0,HOLD,0.0,232.52,1,
2025-07-01,0,HOLD,0.0,242.55,1,
2025-07-02,0,HOLD,0.0,251.98,1,
2025-07-03,0,HOLD,0.0,237.38,1,
2025-07-04,0,SELL,-1.0,219.58,1,
2025-07-05,0,SELL,-1.0,217.56,1,
2025-07-06,0,SELL,-1.0,224.72,1,
2025-07-07,0,SELL,-1.0,250.13,1,
2025-07-08,0,HOLD,0.0,219.3,1,
2025-07-09,0,SELL,-1.0,306.03,1,
2025-07-10,0,HOLD,0.0,230.81,1,
2025-07-11,0,SELL,-1.0,222.85,1,
2025-07-12,0,SELL,-1.0,237.29,1,
2025-07-13,0,SELL,-1.0,288.27,2,
2025-07-14,0,SELL,-1.0,234.64,1,
2025-07-15,0,SELL,-1.0,231.28,1,
2025-07-16,0,SELL,-1.0,326.92,1,
2025-07-17,0,BUY,1.0,270.26,1,
2025-07-18,0,HOLD,0.0,210.27,1,
2025-07-19,0,SELL,-1.0,220.43,1,
2025-07-20,0,SELL,-1.0,223.69,1,
2025-07-21,0,SELL,-1.0,231.33,1,
2025-07-22,0,SELL,-1.0,342.17,1,
2025-07-23,0,SELL,-1.0,206.36,1,
2025-07-24,0,HOLD,0.0,287.72,1,
2025-07-25,0,HOLD,0.0,264.37,1,
2025-07-26,0,HOLD,0.0,232.84,1,
2025-07-27,0,HOLD,0.0,226.57,1,
2025-07-28,0,SELL,-1.0,220.83,1,
2025-07-29,0,HOLD,0.0,232.75,1,
2025-07-30,0,SELL,-1.0,237.46,1,
2025-07-31,0,SELL,-1.0,288.68,1,
2025-08-01,0,HOLD,0.0,254.7,1,
2025-08-02,0,SELL,-1.0,259.81,1,
2025-08-03,0,SELL,-1.0,236.62,1,
2025-08-04,0,HOLD,0.0,285.75,1,
2025-08-05,0,SELL,-1.0,213.49,1,
2025-08-06,0,SELL,-1.0,226.64,1,
2025-08-07,0,HOLD,0.0,320.48,1,
2025-08-08,0,SELL,-1.0,248.71,1,
2025-08-09,0,SELL,-1.0,225.31,1,
2025-08-10,0,SELL,-1.0,220.56,1,
2025-08-11,0,HOLD,0.0,246.39,1,
2025-08-12,0,HOLD,0.0,232.53,1,
2025-08-13,0,HOLD,0.0,231.86,1,
2025-08-14,0,HOLD,0.0,224.83,1,
2025-08-15,0,SELL,-1.0,225.64,1,
2025-08-16,0,HOLD,0.0,281.25,1,
2025-08-17,0,HOLD,0.0,316.61,1,
2025-08-18,0,HOLD,0.0,311.74,1,
2025-08-19,0,HOLD,0.0,301.59,1,
2025-08-20,0,SELL,-1.0,308.22,1,
2025-08-21,0,HOLD,0.0,309.15,1,
2025-08-22,0,SELL,-1.0,274.74,1,
2025-08-23,0,HOLD,0.0,238.37,1,
2025-08-24,0,SELL,-1.0,252.47,1,
2025-08-25,0,HOLD,0.0,271.15,1,
2025-08-26,0,SELL,-1.0,248.39,1,
2025-08-27,0,HOLD,0.0,235.12,1,
2025-08-28,0,HOLD,0.0,237.08,1,
2025-08-29,0,HOLD,0.0,235.39,1,
2025-08-30,0,HOLD,0.0,232.18,1,
2025-08-31,0,HOLD,0.0,236.91,1,
2025-09-01,0,SELL,-1.0,242.58,1,
2025-09-02,0,SELL,-1.0,259.48,1,
2025-09-03,0,SELL,-1.0,286.09,1,
2025-09-04,0,HOLD,0.0,262.98,1,
2025-09-05,0,HOLD,0.0,224.79,1,
2025-09-06,0,HOLD,0.0,229.03,1,
2025-09-07,0,HOLD,0.0,213.68,1,
2025-09-08,0,HOLD,0.0,230.97,1,
2025-09-09,0,SELL,-1.0,237.24,1,
2025-09-10,0,SELL,-1.0,233.95,1,
2025-09-11,0,HOLD,0.0,259.13,1,
2025-09-12,0,HOLD,0.0,246.04,1,
2025-09-13,0,SELL,-1.0,230.9,1,
2025-09-14,0,SELL,-1.0,259.1,1,
2025-09-15,0,HOLD,0.0,231.25,1,
2025-09-16,0,SELL,-1.0,235.75,1,
2025-09-17,0,SELL,-1.0,232.81,1,
2025-09-18,0,HOLD,0.0,255.94,1,
2025-09-19,0,SELL,-1.0,230.09,1,
2025-09-20,0,SELL,-1.0,226.51,1,
2025-09-21,0,SELL,-1.0,324.61,1,
2025-09-22,0,HOLD,0.0,215.69,1,
2025-09-23,0,HOLD,0.0,272.99,1,
2025-09-24,0,SELL,-1.0,234.79,1,
2025-09-25,0,SELL,-1.0,247.97,1,
2025-09-26,0,HOLD,0.0,323.86,1,
2025-09-27,0,SELL,-1.0,231.33,1,
2025-09-28,0,SELL,-1.0,220.8,1,
2025-09-29,0,SELL,-1.0,241.85,1,
2025-09-30,0,SELL,-1.0,254.84,1,
2025-10-01,0,HOLD,0.0,253.64,1,
2025-10-02,0,SELL,-1.0,245.33,1,
2025-10-03,0,HOLD,0.0,239.53,1,
2025-10-04,0,HOLD,0.0,223.78,1,
2025-10-05,0,SELL,-1.0,286.83,1,
2025-10-06,0,SELL,-1.0,270.41,1,
2025-10-07,0,HOLD,0.0,233.45,1,
2025-10-08,0,HOLD,0.0,245.56,1,
2025-10-09,0,SELL,-1.0,226.25,1,
2025-10-10,0,HOLD,0.0,256.32,1,
2025-10-11,0,SELL,-1.0,241.39,1,
2025-10-12,0,SELL,-1.0,240.89,1,
2025-10-13,0,HOLD,0.0,288.63,1,
2025-10-14,0,HOLD,0.0,229.65,1,
2025-10-15,0,HOLD,0.0,218.46,1,
2025-10-16,0,SELL,-1.0,267.38,1,
2025-10-17,0,SELL,-1.0,250.38,1,
2025-10-18,0,SELL,-1.0,216.33,1,
2025-10-19,0,SELL,-1.0,251.53,1,
2025-10-20,0,SELL,-1.0,267.06,1,
2025-10-21,0,SELL,-1.0,218.84,1,
2025-10-22,0,SELL,-1.0,330.16,1,
2025-10-23,0,HOLD,0.0,318.46,1,
2025-10-24,0,HOLD,0.0,306.54,1,
2025-10-25,0,HOLD,0.0,277.46,1,
2025-10-26,0,HOLD,0.0,252.32,1,
2025-10-27,0,HOLD,0.0,243.2,1,
2025-10-28,0,SELL,-1.0,228.67,1,
2025-10-29,0,HOLD,0.0,352.63,1,
2025-10-30,0,SELL,-1.0,252.97,1,
2025-10-31,0,HOLD,0.0,255.28,1,
2025-11-01,0,HOLD,0.0,274.03,1,
2025-11-02,0,SELL,-1.0,266.25,1,
2025-11-03,0,HOLD,0.0,226.69,1,
2025-11-04,0,HOLD,0.0,239.38,1,
2025-11-05,0,SELL,-1.0,306.62,1,
2025-11-06,0,SELL,-1.0,249.31,1,
2025-11-07,0,HOLD,0.0,259.96,1,
2025-11-08,0,HOLD,0.0,290.73,1,
2025-11-09,0,HOLD,0.0,211.52,1,
2025-11-10,0,SELL,-1.0,221.35,1,
2025-11-11,0,SELL,-1.0,260.41,1,
2025-11-12,0,SELL,-1.0,258.41,1,
2025-11-13,0,SELL,-1.0,251.22,1,
