date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,SELL,-1.0,334.5,1,
2025-01-02,0,HOLD,0.0,240.65,1,
2025-01-03,0,HOLD,0.0,229.23,1,
2025-01-04,0,SELL,-1.0,241.06,1,
2025-01-05,0,SELL,-1.0,226.53,1,
2025-01-06,0,HOLD,0.0,245.0,1,
2025-01-07,0,SELL,-1.0,228.54,1,
2025-01-08,0,SELL,-1.0,248.47,1,
2025-01-09,0,SELL,-1.0,302.23,1,
2025-01-10,0,SELL,-1.0,221.44,1,
2025-01-11,0,HOLD,0.0,290.1,1,
2025-01-12,0,HOLD,0.0,241.85,1,
2025-01-13,0,SELL,-1.0,335.61,1,
2025-01-14,0,HOLD,0.0,330.46,1,
2025-01-15,0,SELL,-1.0,236.85,1,
2025-01-16,0,HOLD,0.0,236.45,1,
2025-01-17,0,HOLD,0.0,232.55,1,
2025-01-18,0,HOLD,0.0,259.05,1,
2025-01-19,0,SELL,-1.0,234.61,1,
2025-01-20,0,HOLD,0.0,210.9,1,
2025-01-21,0,SELL,-1.0,240.67,1,
2025-01-22,0,HOLD,0.0,255.53,1,
2025-01-23,0,SELL,-1.0,278.36,1,
2025-01-24,0,HOLD,0.0,230.1,1,
2025-01-25,0,SELL,-1.0,247.12,1,
2025-01-26,0,HOLD,0.0,234.73,1,
2025-01-27,0,SELL,-1.0,248.94,1,
2025-01-28,0,HOLD,0.0,236.27,1,
2025-01-29,0,SELL,-1.0,288.06,1,
2025-01-30,0,SELL,-1.0,217.77,1,
2025-01-31,0,SELL,-1.0,233.47,1,
2025-02-01,0,SELL,-1.0,337.58,1,
2025-02-02,0,HOLD,0.0,308.71,1,
2025-02-03,0,SELL,-1.0,285.15,1,
2025-02-04,0,SELL,-1.0,284.73,1,
2025-02-05,0,HOLD,0.0,263.21,1,
2025-02-06,0,SELL,-1.0,248.77,1,
2025-02-07,0,SELL,-1.0,227.92,1,
2025-02-08,0,SELL,-1.0,299.38,1,
2025-02-09,0,HOLD,0.0,255.82,2,
2025-02-10,0,SELL,-1.0,270.64,1,
2025-02-11,0,SELL,-1.0,315.53,1,
2025-02-12,0,HOLD,0.0,234.8,1,
2025-02-13,0,SELL,-1.0,283.45,1,
2025-02-14,0,SELL,-1.0,243.06,1,
2025-02-15,0,SELL,-1.0,248.6,1,
2025-02-16,0,HOLD,0.0,202.09,1,
2025-02-17,0,HOLD,0.0,226.08,1,
2025-02-18,0,SELL,-1.0,206.9,1,
2025-02-19,0,SELL,-1.0,227.36,1,
2025-02-20,0,SELL,-1.0,247.55,1,
2025-02-21,0,SELL,-1.0,277.9,1,
2025-02-22,0,SELL,-1.0,330.86,1,
2025-02-23,0,HOLD,0.0,236.89,1,
