date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,HOLD,0.0,312.03,1,
2025-01-02,0,SELL,-1.0,224.74,1,
2025-01-03,0,HOLD,0.0,233.93,1,
2025-01-04,0,HOLD,0.0,254.43,1,
2025-01-05,0,HOLD,0.0,220.5,1,
2025-01-06,0,SELL,-1.0,252.29,1,
2025-01-07,0,SELL,-1.0,284.36,1,
2025-01-08,0,HOLD,0.0,238.48,1,
2025-01-09,0,HOLD,0.0,229.05,1,
2025-01-10,0,SELL,-1.0,238.69,1,
2025-01-11,0,SELL,-1.0,229.48,1,
2025-01-12,0,SELL,-1.0,218.13,1,
2025-01-13,0,SELL,-1.0,271.96,1,
2025-01-14,0,HOLD,0.0,248.13,1,
2025-01-15,0,SELL,-1.0,326.63,1,
2025-01-16,0,HOLD,0.0,220.06,1,
2025-01-17,0,HOLD,0.0,262.66,1,
2025-01-18,0,HOLD,0.0,212.69,1,
2025-01-19,0,HOLD,0.0,240.92,1,
2025-01-20,0,SELL,-1.0,234.94,1,
2025-01-21,0,SELL,-1.0,215.14,1,
2025-01-22,0,HOLD,0.0,263.29,1,
2025-01-23,0,SELL,-1.0,247.0,1,
2025-01-24,0,SELL,-1.0,250.87,1,
2025-01-25,0,HOLD,0.0,209.94,1,
2025-01-26,0,SELL,-1.0,253.07,1,
2025-01-27,0,SELL,-1.0,220.38,1,
2025-01-28,0,SELL,-1.0,205.42,1,
2025-01-29,0,HOLD,0.0,221.41,1,
2025-01-30,0,SELL,-1.0,229.01,1,
2025-01-31,0,SELL,-1.0,226.98,1,
2025-02-01,0,HOLD,0.0,230.98,1,
2025-02-02,0,HOLD,0.0,228.81,1,
2025-02-03,0,SELL,-1.0,236.48,1,
2025-02-04,0,SELL,-1.0,246.7,1,
2025-02-05,0,SELL,-1.0,230.87,1,
2025-02-06,0,SELL,-1.0,238.84,1,
2025-02-07,0,HOLD,0.0,305.88,1,
2025-02-08,0,SELL,-1.0,242.09,1,
2025-02-09,0,SELL,-1.0,289.47,1,
2025-02-10,0,HOLD,0.0,257.13,1,
2025-02-11,0,HOLD,0.0,259.95,1,
2025-02-12,0,HOLD,0.0,290.58,1,
2025-02-13,0,SELL,-1.0,235.55,1,
2025-02-14,0,SELL,-1.0,363.29,1,
2025-02-15,0,HOLD,0.0,229.89,1,
2025-02-16,0,SELL,-1.0,258.41,1,
2025-02-17,0,SELL,-1.0,240.39,1,
2025-02-18,0,BUY,1.0,224.39,1,
2025-02-19,0,SELL,-1.0,248.27,1,
2025-02-20,0,SELL,-1.0,231.48,1,
2025-02-21,0,HOLD,0.0,239.15,1,
2025-02-22,0,HOLD,0.0,219.51,1,
2025-02-23,0,SELL,-1.0,225.21,1,
2025-02-24,0,HOLD,0.0,224.16,1,
2025-02-25,0,SELL,-1.0,241.91,1,
2025-02-26,0,HOLD,0.0,244.01,1,
2025-02-27,0,SELL,-1.0,301.52,1,
2025-02-28,0,SELL,-1.0,293.84,1,
2025-03-01,0,SELL,-1.0,290.36,1,
2025-03-02,0,HOLD,0.0,265.21,1,
2025-03-03,0,SELL,-1.0,262.12,1,
2025-03-04,0,SELL,-1.0,246.77,1,
2025-03-05,0,SELL,-1.0,222.56,1,
2025-03-06,0,SELL,-1.0,235.51,1,
2025-03-07,0,HOLD,0.0,241.41,1,
2025-03-08,0,SELL,-1.0,232.14,1,
2025-03-09,0,HOLD,0.0,225.34,1,
2025-03-10,0,HOLD,0.0,340.45,1,
2025-03-11,0,SELL,-1.0,226.09,1,
2025-03-12,0,SELL,-1.0,264.72,1,
2025-03-13,0,HOLD,0.0,233.97,1,
2025-03-14,0,SELL,-1.0,304.31,1,
2025-03-15,0,HOLD,0.0,242.67,1,
