date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,SELL,-1.0,301.45,1,
2025-01-02,0,HOLD,0.0,219.22,1,
2025-01-03,0,SELL,-1.0,266.19,1,
2025-01-04,0,SELL,-1.0,228.64,1,
2025-01-05,0,SELL,-1.0,213.66,1,
2025-01-06,0,SELL,-1.0,217.22,1,
2025-01-07,0,HOLD,0.0,248.35,1,
2025-01-08,0,SELL,-1.0,203.0,1,
2025-01-09,0,SELL,-1.0,225.75,1,
2025-01-10,0,SELL,-1.0,330.82,2,
2025-01-11,0,SELL,-1.0,224.24,1,
2025-01-12,0,HOLD,0.0,254.09,1,
2025-01-13,0,SELL,-1.0,233.78,1,
2025-01-14,0,BUY,1.0,255.2,1,
2025-01-15,0,SELL,-1.0,198.06,1,
2025-01-16,0,SELL,-1.0,243.8,1,
2025-01-17,0,HOLD,0.0,268.44,1,
2025-01-18,0,HOLD,0.0,220.25,1,
2025-01-19,0,HOLD,0.0,306.64,1,
2025-01-20,0,HOLD,0.0,286.74,1,
2025-01-21,0,HOLD,0.0,197.88,1,
2025-01-22,0,SELL,-1.0,239.1,1,
2025-01-23,0,SELL,-1.0,249.25,1,
2025-01-24,0,SELL,-1.0,283.65,2,
2025-01-25,0,HOLD,0.0,248.04,1,
2025-01-26,0,HOLD,0.0,250.6,1,
2025-01-27,0,HOLD,0.0,232.29,1,
2025-01-28,0,HOLD,0.0,234.33,1,
2025-01-29,0,HOLD,0.0,284.52,1,
2025-01-30,0,SELL,-1.0,256.45,1,
2025-01-31,0,SELL,-1.0,273.29,1,
2025-02-01,0,HOLD,0.0,280.8,1,
2025-02-02,0,HOLD,0.0,219.43,1,
2025-02-03,0,SELL,-1.0,297.05,1,
2025-02-04,0,SELL,-1.0,224.48,1,
2025-02-05,0,SELL,-1.0,216.57,1,
2025-02-06,0,HOLD,0.0,220.82,1,
2025-02-07,0,SELL,-1.0,250.47,1,
2025-02-08,0,HOLD,0.0,218.77,1,
2025-02-09,0,SELL,-1.0,228.99,1,
2025-02-10,0,HOLD,0.0,268.44,1,
2025-02-11,0,SELL,-1.0,234.96,1,
2025-02-12,0,HOLD,0.0,217.83,1,
2025-02-13,0,HOLD,0.0,335.49,1,
2025-02-14,0,HOLD,0.0,220.76,1,
2025-02-15,0,HOLD,0.0,235.34,1,
2025-02-16,0,SELL,-1.0,301.46,1,
2025-02-17,0,SELL,-1.0,238.83,1,
2025-02-18,0,SELL,-1.0,254.75,1,
2025-02-19,0,SELL,-1.0,336.99,1,
2025-02-20,0,SELL,-1.0,220.82,1,
2025-02-21,0,HOLD,0.0,231.57,1,
2025-02-22,0,HOLD,0.0,233.47,1,
2025-02-23,0,HOLD,0.0,201.97,1,
2025-02-24,0,SELL,-1.0,244.05,1,
2025-02-25,0,SELL,-1.0,233.09,1,
2025-02-26,0,HOLD,0.0,218.83,1,
2025-02-27,0,HOLD,0.0,224.98,1,
2025-02-28,0,HOLD,0.0,5235.26,1,
2025-03-01,0,HOLD,0.0,214.18,1,
2025-03-02,0,SELL,-1.0,237.95,1,
2025-03-03,0,HOLD,0.0,220.29,1,
2025-03-04,0,SELL,-1.0,257.8,1,
2025-03-05,0,SELL,-1.0,323.19,1,
2025-03-06,0,SELL,-1.0,233.32,1,
2025-03-07,0,SELL,-1.0,214.34,1,
2025-03-08,0,HOLD,0.0,269.45,1,
2025-03-09,0,HOLD,0.0,288.27,1,
2025-03-10,0,HOLD,0.0,238.97,1,
2025-03-11,0,HOLD,0.0,267.53,1,
2025-03-12,0,BUY,1.0,235.78,1,
2025-03-13,0,SELL,-1.0,270.43,1,
2025-03-14,0,HOLD,0.0,260.7,1,
2025-03-15,0,SELL,-1.0,245.27,1,
2025-03-16,0,SELL,-1.0,238.97,1,
2025-03-17,0,SELL,-1.0,284.67,1,
2025-03-18,0,HOLD,0.0,310.73,2,
2025-03-19,0,BUY,1.0,225.95,1,
2025-03-20,0,HOLD,0.0,233.81,1,
2025-03-21,0,SELL,-1.0,230.99,1,
2025-03-22,0,HOLD,0.0,278.54,1,
2025-03-23,0,HOLD,0.0,238.04,1,
2025-03-24,0,HOLD,0.0,350.77,1,
2025-03-25,0,HOLD,0.0,246.2,1,
2025-03-26,0,HOLD,0.0,173.82,1,
2025-03-27,0,SELL,-1.0,225.28,1,
2025-03-28,0,HOLD,0.0,228.72,1,
2025-03-29,0,HOLD,0.0,286.75,1,
2025-03-30,0,SELL,-1.0,396.39,1,
2025-03-31,0,SELL,-1.0,254.73,1,
2025-04-01,0,HOLD,0.0,250.11,1,
2025-04-02,0,SELL,-1.0,304.98,1,
2025-04-03,0,SELL,-1.0,252.98,1,
2025-04-04,0,HOLD,0.0,329.85,1,
2025-04-05,0,HOLD,0.0,264.79,1,
2025-04-06,0,HOLD,0.0,229.07,1,
2025-04-07,0,HOLD,0.0,320.68,1,
2025-04-08,0,SELL,-1.0,236.37,1,
2025-04-09,0,HOLD,0.0,304.51,1,
2025-04-10,0,SELL,-1.0,229.76,1,
2025-04-11,0,HOLD,0.0,232.12,1,
2025-04-12,0,HOLD,0.0,305.49,1,
2025-04-13,0,HOLD,0.0,240.7,1,
2025-04-14,0,HOLD,0.0,232.16,1,
2025-04-15,0,HOLD,0.0,220.29,1,
2025-04-16,0,HOLD,0.0,259.41,1,
2025-04-17,0,SELL,-1.0,327.79,1,
2025-04-18,0,HOLD,0.0,235.74,1,
2025-04-19,0,HOLD,0.0,245.13,1,
2025-04-20,0,SELL,-1.0,238.22,1,
2025-04-21,0,HOLD,0.0,238.33,1,
2025-04-22,0,HOLD,0.0,220.82,1,
2025-04-23,0,HOLD,0.0,250.24,1,
2025-04-24,0,HOLD,0.0,243.26,1,
2025-04-25,0,SELL,-1.0,262.82,1,
2025-04-26,0,HOLD,0.0,236.17,1,
2025-04-27,0,HOLD,0.0,233.62,1,
2025-04-28,0,HOLD,0.0,303.69,1,
2025-04-29,0,HOLD,0.0,259.49,1,
2025-04-30,0,HOLD,0.0,301.49,1,
2025-05-01,0,SELL,-1.0,248.94,1,
2025-05-02,0,SELL,-1.0,252.56,1,
2025-05-03,0,SELL,-1.0,266.25,1,
2025-05-04,0,HOLD,0.0,242.18,1,
2025-05-05,0,SELL,-1.0,297.95,1,
2025-05-06,0,HOLD,0.0,258.17,1,
2025-05-07,0,SELL,-1.0,218.19,1,
2025-05-08,0,HOLD,0.0,250.43,1,
2025-05-09,0,HOLD,0.0,246.5,1,
2025-05-10,0,HOLD,0.0,231.61,1,
2025-05-11,0,HOLD,0.0,225.51,1,
2025-05-12,0,HOLD,0.0,305.42,1,
2025-05-13,0,SELL,-1.0,262.41,1,
2025-05-14,0,HOLD,0.0,252.91,1,
2025-05-15,0,HOLD,0.0,218.31,1,
