date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,SELL,-1.0,307.02,1,
2025-01-02,0,SELL,-1.0,235.1,1,
2025-01-03,0,HOLD,0.0,221.11,1,
2025-01-04,0,HOLD,0.0,312.86,1,
2025-01-05,0,SELL,-1.0,213.72,1,
2025-01-06,0,HOLD,0.0,249.94,1,
2025-01-07,0,SELL,-1.0,229.9,1,
2025-01-08,0,SELL,-1.0,238.33,1,
2025-01-09,0,HOLD,0.0,225.97,1,
2025-01-10,0,SELL,-1.0,225.69,1,
2025-01-11,0,SELL,-1.0,232.62,1,
2025-01-12,0,SELL,-1.0,288.15,1,
2025-01-13,0,HOLD,0.0,255.93,2,
2025-01-14,0,HOLD,0.0,221.98,1,
2025-01-15,0,HOLD,0.0,232.76,1,
2025-01-16,0,SELL,-1.0,231.47,1,
2025-01-17,0,SELL,-1.0,193.13,1,
2025-01-18,0,HOLD,0.0,330.83,1,
2025-01-19,0,HOLD,0.0,204.24,1,
2025-01-20,0,SELL,-1.0,237.5,1,
2025-01-21,0,SELL,-1.0,209.97,1,
2025-01-22,0,SELL,-1.0,241.41,1,
2025-01-23,0,SELL,-1.0,224.98,1,
2025-01-24,0,HOLD,0.0,255.06,1,
2025-01-25,0,HOLD,0.0,249.43,1,
2025-01-26,0,HOLD,0.0,252.16,1,
2025-01-27,0,HOLD,0.0,226.76,1,
2025-01-28,0,SELL,-1.0,246.64,1,
2025-01-29,0,SELL,-1.0,210.64,1,
2025-01-30,0,SELL,-1.0,211.78,1,
2025-01-31,0,HOLD,0.0,291.02,1,
2025-02-01,0,SELL,-1.0,352.49,2,
2025-02-02,0,SELL,-1.0,302.84,1,
2025-02-03,0,HOLD,0.0,235.14,1,
2025-02-04,0,HOLD,0.0,238.54,1,
2025-02-05,0,HOLD,0.0,256.16,2,
2025-02-06,0,HOLD,0.0,289.85,1,
2025-02-07,0,HOLD,0.0,214.81,1,
2025-02-08,0,SELL,-1.0,231.79,1,
2025-02-09,0,HOLD,0.0,240.74,1,
2025-02-10,0,HOLD,0.0,213.02,1,
2025-02-11,0,HOLD,0.0,208.82,1,
2025-02-12,0,HOLD,0.0,240.07,1,
2025-02-13,0,HOLD,0.0,248.56,1,
2025-02-14,0,HOLD,0.0,213.02,1,
2025-02-15,0,HOLD,0.0,278.43,1,
2025-02-16,0,HOLD,0.0,223.62,1,
2025-02-17,0,SELL,-1.0,215.83,1,
2025-02-18,0,HOLD,0.0,237.44,1,
2025-02-19,0,HOLD,0.0,235.0,1,
2025-02-20,0,HOLD,0.0,303.76,1,
2025-02-21,0,HOLD,0.0,216.63,1,
2025-02-22,0,HOLD,0.0,253.78,1,
2025-02-23,0,HOLD,0.0,228.84,1,
2025-02-24,0,SELL,-1.0,244.11,1,
2025-02-25,0,SELL,-1.0,258.71,1,
2025-02-26,0,SELL,-1.0,265.34,1,
2025-02-27,0,HOLD,0.0,276.79,1,
2025-02-28,0,SELL,-1.0,213.89,1,
2025-03-01,0,HOLD,0.0,215.31,1,
2025-03-02,0,SELL,-1.0,238.08,1,
2025-03-03,0,HOLD,0.0,221.11,1,
2025-03-04,0,HOLD,0.0,224.9,1,
2025-03-05,0,HOLD,0.0,235.23,2,
