date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,HOLD,0.0,306.51,1,
2025-01-02,0,HOLD,0.0,307.77,1,
2025-01-03,0,SELL,-1.0,254.52,1,
2025-01-04,0,HOLD,0.0,220.54,1,
2025-01-05,0,HOLD,0.0,255.62,1,
2025-01-06,0,HOLD,0.0,236.98,1,
2025-01-07,0,SELL,-1.0,218.97,1,
2025-01-08,0,HOLD,0.0,214.11,1,
2025-01-09,0,SELL,-1.0,299.16,1,
2025-01-10,0,HOLD,0.0,209.86,1,
2025-01-11,0,SELL,-1.0,237.12,1,
2025-01-12,0,HOLD,0.0,220.03,1,
2025-01-13,0,SELL,-1.0,227.22,1,
2025-01-14,0,SELL,-1.0,297.0,1,
2025-01-15,0,HOLD,0.0,304.71,1,
2025-01-16,0,SELL,-1.0,224.64,1,
2025-01-17,0,SELL,-1.0,255.23,2,
2025-01-18,0,SELL,-1.0,270.15,1,
2025-01-19,0,HOLD,0.0,222.68,1,
2025-01-20,0,HOLD,0.0,224.55,1,
2025-01-21,0,HOLD,0.0,219.34,1,
2025-01-22,0,SELL,-1.0,302.65,1,
2025-01-23,0,SELL,-1.0,221.03,1,
2025-01-24,0,HOLD,0.0,229.71,1,
2025-01-25,0,SELL,-1.0,223.11,1,
2025-01-26,0,SELL,-1.0,203.74,1,
2025-01-27,0,HOLD,0.0,270.69,1,
2025-01-28,0,SELL,-1.0,223.71,1,
2025-01-29,0,SELL,-1.0,193.18,1,
2025-01-30,0,HOLD,0.0,243.42,1,
2025-01-31,0,SELL,-1.0,258.34,1,
2025-02-01,0,SELL,-1.0,245.77,1,
2025-02-02,0,HOLD,0.0,240.05,1,
2025-02-03,0,SELL,-1.0,218.67,1,
2025-02-04,0,SELL,-1.0,257.42,1,
2025-02-05,0,SELL,-1.0,204.44,1,
2025-02-06,0,SELL,-1.0,215.18,1,
2025-02-07,0,SELL,-1.0,230.64,1,
2025-02-08,0,SELL,-1.0,260.36,1,
2025-02-09,0,SELL,-1.0,338.29,1,
2025-02-10,0,SELL,-1.0,231.94,1,
2025-02-11,0,SELL,-1.0,241.75,1,
2025-02-12,0,BUY,1.0,219.35,1,
2025-02-13,0,HOLD,0.0,230.38,1,
2025-02-14,0,HOLD,0.0,219.88,1,
2025-02-15,0,SELL,-1.0,301.16,1,
2025-02-16,0,HOLD,0.0,281.88,1,
2025-02-17,0,HOLD,0.0,307.47,2,
2025-02-18,0,HOLD,0.0,224.37,1,
