date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,SELL,-1.0,382.93,1,
2025-01-02,0,SELL,-1.0,296.71,1,
2025-01-03,0,HOLD,0.0,278.65,1,
2025-01-04,0,SELL,-1.0,323.51,1,
2025-01-05,0,HOLD,0.0,284.22,1,
2025-01-06,0,SELL,-1.0,272.66,1,
2025-01-07,0,HOLD,0.0,296.81,1,
2025-01-08,0,SELL,-1.0,335.38,1,
2025-01-09,0,SELL,-1.0,283.07,1,
2025-01-10,0,HOLD,0.0,286.87,1,
2025-01-11,0,HOLD,0.0,269.7,1,
2025-01-12,0,SELL,-1.0,281.34,1,
2025-01-13,0,SELL,-1.0,259.48,1,
2025-01-14,0,HOLD,0.0,286.37,1,
2025-01-15,0,HOLD,0.0,270.73,1,
2025-01-16,0,SELL,-1.0,370.75,1,
2025-01-17,0,SELL,-1.0,250.56,1,
2025-01-18,0,HOLD,0.0,311.44,1,
2025-01-19,0,SELL,-1.0,283.04,1,
2025-01-20,0,SELL,-1.0,290.78,1,
2025-01-21,0,SELL,-1.0,290.47,1,
2025-01-22,0,SELL,-1.0,273.58,1,
2025-01-23,0,HOLD,0.0,271.77,1,
2025-01-24,0,SELL,-1.0,277.48,1,
2025-01-25,0,SELL,-1.0,247.03,1,
2025-01-26,0,HOLD,0.0,353.83,1,
2025-01-27,0,HOLD,0.0,262.53,1,
2025-01-28,0,SELL,-1.0,309.47,1,
2025-01-29,0,HOLD,0.0,320.06,1,
2025-01-30,0,HOLD,0.0,318.84,1,
2025-01-31,0,SELL,-1.0,282.42,1,
2025-02-01,0,SELL,-1.0,265.29,1,
2025-02-02,0,SELL,-1.0,279.4,1,
2025-02-03,0,HOLD,0.0,271.66,1,
2025-02-04,0,HOLD,0.0,343.75,2,
2025-02-05,0,SELL,-1.0,244.25,1,
2025-02-06,0,SELL,-1.0,275.65,1,
2025-02-07,0,SELL,-1.0,263.09,1,
2025-02-08,0,HOLD,0.0,272.86,1,
2025-02-09,0,HOLD,0.0,317.13,1,
2025-02-10,0,SELL,-1.0,318.0,1,
2025-02-11,0,SELL,-1.0,269.22,1,
2025-02-12,0,HOLD,0.0,373.27,1,
2025-02-13,0,HOLD,0.0,291.84,1,
2025-02-14,0,SELL,-1.0,361.32,1,
2025-02-15,0,SELL,-1.0,263.96,1,
2025-02-16,0,SELL,-1.0,259.45,1,
2025-02-17,0,SELL,-1.0,269.09,1,
2025-02-18,0,HOLD,0.0,339.13,1,
2025-02-19,0,SELL,-1.0,285.0,1,
2025-02-20,0,HOLD,0.0,277.19,1,
2025-02-21,0,HOLD,0.0,291.92,1,
2025-02-22,0,SELL,-1.0,266.35,1,
2025-02-23,0,SELL,-1.0,281.82,1,
2025-02-24,0,HOLD,0.0,365.8,1,
2025-02-25,0,HOLD,0.0,296.19,1,
2025-02-26,0,SELL,-1.0,271.49,1,
2025-02-27,0,HOLD,0.0,269.52,1,
2025-02-28,0,HOLD,0.0,256.14,1,
2025-03-01,0,SELL,-1.0,290.03,1,
2025-03-02,0,SELL,-1.0,323.38,1,
2025-03-03,0,SELL,-1.0,333.11,1,
2025-03-04,0,HOLD,0.0,294.65,1,
2025-03-05,0,SELL,-1.0,289.38,1,
2025-03-06,0,SELL,-1.0,274.97,1,
2025-03-07,0,HOLD,0.0,372.65,1,
2025-03-08,0,SELL,-1.0,388.38,1,
2025-03-09,0,HOLD,0.0,262.75,1,
2025-03-10,0,HOLD,0.0,278.57,1,
2025-03-11,0,SELL,-1.0,290.81,1,
2025-03-12,0,SELL,-1.0,283.38,1,
2025-03-13,0,SELL,-1.0,307.93,1,
2025-03-14,0,HOLD,0.0,275.87,1,
2025-03-15,0,SELL,-1.0,375.68,1,
2025-03-16,0,HOLD,0.0,310.18,1,
2025-03-17,0,SELL,-1.0,255.39,1,
2025-03-18,0,HOLD,0.0,276.27,1,
2025-03-19,0,SELL,-1.0,344.4,1,
2025-03-20,0,SELL,-1.0,339.23,1,
2025-03-21,0,SELL,-1.0,276.48,1,
2025-03-22,0,SELL,-1.0,265.74,1,
2025-03-23,0,HOLD,0.0,322.67,2,
2025-03-24,0,HOLD,0.0,269.48,1,
2025-03-25,0,SELL,-1.0,249.79,1,
2025-03-26,0,SELL,-1.0,304.27,1,
2025-03-27,0,HOLD,0.0,278.2,1,
2025-03-28,0,SELL,-1.0,290.18,1,
2025-03-29,0,SELL,-1.0,391.02,1,
2025-03-30,0,HOLD,0.0,301.88,1,
2025-03-31,0,SELL,-1.0,259.92,1,
2025-04-01,0,HOLD,0.0,301.97,1,
2025-04-02,0,SELL,-1.0,306.42,1,
2025-04-03,0,SELL,-1.0,344.28,1,
2025-04-04,0,SELL,-1.0,356.57,1,
2025-04-05,0,HOLD,0.0,261.1,1,
2025-04-06,0,HOLD,0.0,332.21,2,
2025-04-07,0,SELL,-1.0,311.04,1,
2025-04-08,0,SELL,-1.0,283.69,1,
2025-04-09,0,SELL,-1.0,315.48,2,
2025-04-10,0,SELL,-1.0,330.24,1,
2025-04-11,0,SELL,-1.0,271.59,1,
2025-04-12,0,HOLD,0.0,347.39,2,
2025-04-13,0,HOLD,0.0,270.74,1,
2025-04-14,0,SELL,-1.0,277.52,1,
2025-04-15,0,SELL,-1.0,270.04,1,
2025-04-16,0,SELL,-1.0,330.56,1,
2025-04-17,0,SELL,-1.0,319.45,1,
2025-04-18,0,SELL,-1.0,304.94,1,
2025-04-19,0,SELL,-1.0,259.95,1,
2025-04-20,0,HOLD,0.0,317.2,1,
2025-04-21,0,HOLD,0.0,263.53,1,
2025-04-22,0,BUY,1.0,255.72,1,
2025-04-23,0,SELL,-1.0,372.56,1,
2025-04-24,0,HOLD,0.0,289.62,1,
