date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,HOLD,0.0,460.41,1,
2025-04-10,0,SELL,-1.0,328.39,1,
2025-04-11,0,HOLD,0.0,324.66,1,
2025-04-12,0,HOLD,0.0,313.58,1,
2025-04-13,0,HOLD,0.0,292.24,1,
2025-04-14,0,HOLD,0.0,311.95,1,
2025-04-15,0,SELL,-1.0,310.52,1,
2025-04-16,0,HOLD,0.0,302.23,1,
2025-04-17,0,SELL,-1.0,301.15,1,
2025-04-18,0,HOLD,0.0,317.78,1,
2025-04-19,0,HOLD,0.0,405.89,1,
2025-04-20,0,HOLD,0.0,412.28,1,
2025-04-21,0,SELL,-1.0,291.36,1,
2025-04-22,0,HOLD,0.0,306.72,1,
2025-04-23,0,HOLD,0.0,397.77,1,
2025-04-24,0,HOLD,0.0,336.94,1,
2025-04-25,0,HOLD,0.0,330.33,1,
2025-04-26,0,SELL,-1.0,309.8,1,
2025-04-27,0,SELL,-1.0,299.82,1,
2025-04-28,0,HOLD,0.0,313.81,1,
2025-04-29,0,SELL,-1.0,291.72,1,
2025-04-30,0,HOLD,0.0,329.5,1,
2025-05-01,0,HOLD,0.0,377.98,1,
2025-05-02,0,HOLD,0.0,301.98,1,
2025-05-03,0,SELL,-1.0,338.06,1,
2025-05-04,0,SELL,-1.0,327.64,1,
2025-05-05,0,SELL,-1.0,293.5,1,
2025-05-06,0,HOLD,0.0,312.0,1,
2025-05-07,0,SELL,-1.0,359.0,1,
2025-05-08,0,HOLD,0.0,338.51,1,
