date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,HOLD,0.0,395.97,1,
2025-04-10,0,HOLD,0.0,287.83,1,
2025-04-11,0,HOLD,0.0,351.14,1,
2025-04-12,0,SELL,-1.0,330.46,1,
2025-04-13,0,SELL,-1.0,375.65,1,
2025-04-14,0,HOLD,0.0,310.54,1,
2025-04-15,0,SELL,-1.0,331.8,1,
2025-04-16,0,HOLD,0.0,291.47,1,
2025-04-17,0,SELL,-1.0,297.06,1,
2025-04-18,0,SELL,-1.0,340.05,1,
2025-04-19,0,SELL,-1.0,379.55,1,
2025-04-20,0,HOLD,0.0,350.96,1,
2025-04-21,0,HOLD,0.0,309.33,1,
2025-04-22,0,SELL,-1.0,552.4,1,
2025-04-23,0,SELL,-1.0,296.14,1,
2025-04-24,0,SELL,-1.0,314.61,1,
2025-04-25,0,HOLD,0.0,311.52,1,
2025-04-26,0,SELL,-1.0,317.52,1,
2025-04-27,0,HOLD,0.0,397.19,1,
2025-04-28,0,SELL,-1.0,296.57,1,
2025-04-29,0,SELL,-1.0,281.55,1,
2025-04-30,0,SELL,-1.0,308.05,1,
2025-05-01,0,SELL,-1.0,291.07,1,
2025-05-02,0,SELL,-1.0,290.44,1,
2025-05-03,0,HOLD,0.0,287.46,1,
2025-05-04,0,SELL,-1.0,309.48,1,
2025-05-05,0,SELL,-1.0,351.22,1,
2025-05-06,0,SELL,-1.0,329.25,1,
2025-05-07,0,HOLD,0.0,299.25,1,
2025-05-08,0,SELL,-1.0,298.6,1,
