date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,SELL,-1.0,518.68,1,
2025-04-10,0,SELL,-1.0,482.36,2,
2025-04-11,0,SELL,-1.0,315.44,1,
2025-04-12,0,HOLD,0.0,280.19,1,
2025-04-13,0,HOLD,0.0,317.87,1,
2025-04-14,0,HOLD,0.0,310.39,1,
2025-04-15,0,HOLD,0.0,284.64,1,
2025-04-16,0,SELL,-1.0,404.16,1,
2025-04-17,0,HOLD,0.0,399.18,1,
2025-04-18,0,SELL,-1.0,390.95,1,
2025-04-19,0,HOLD,0.0,271.93,1,
2025-04-20,0,SELL,-1.0,370.69,2,
2025-04-21,0,HOLD,0.0,302.53,1,
2025-04-22,0,HOLD,0.0,296.38,1,
2025-04-23,0,HOLD,0.0,308.29,1,
2025-04-24,0,SELL,-1.0,297.31,1,
2025-04-25,0,HOLD,0.0,291.96,1,
2025-04-26,0,HOLD,0.0,306.95,1,
2025-04-27,0,HOLD,0.0,349.45,1,
2025-04-28,0,HOLD,0.0,319.16,1,
2025-04-29,0,SELL,-1.0,333.95,1,
2025-04-30,0,SELL,-1.0,305.0,1,
2025-05-01,0,SELL,-1.0,301.6,1,
2025-05-02,0,SELL,-1.0,300.75,1,
2025-05-03,0,HOLD,0.0,308.03,1,
2025-05-04,0,SELL,-1.0,291.01,1,
2025-05-05,0,HOLD,0.0,377.76,1,
2025-05-06,0,SELL,-1.0,340.07,1,
2025-05-07,0,SELL,-1.0,312.51,1,
2025-05-08,0,SELL,-1.0,301.49,1,
