date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,HOLD,0.0,447.95,1,
2025-04-10,0,HOLD,0.0,409.12,1,
2025-04-11,0,SELL,-1.0,344.66,2,
2025-04-12,0,SELL,-1.0,305.1,1,
2025-04-13,0,HOLD,0.0,299.31,1,
2025-04-14,0,SELL,-1.0,283.19,1,
2025-04-15,0,HOLD,0.0,321.28,1,
2025-04-16,0,SELL,-1.0,312.37,1,
2025-04-17,0,SELL,-1.0,298.15,1,
2025-04-18,0,HOLD,0.0,272.8,1,
2025-04-19,0,HOLD,0.0,322.8,1,
2025-04-20,0,SELL,-1.0,307.02,1,
2025-04-21,0,HOLD,0.0,325.17,1,
2025-04-22,0,HOLD,0.0,346.03,1,
2025-04-23,0,SELL,-1.0,286.86,1,
2025-04-24,0,HOLD,0.0,344.51,1,
2025-04-25,0,HOLD,0.0,575.49,1,
2025-04-26,0,HOLD,0.0,347.33,1,
2025-04-27,0,HOLD,0.0,300.72,1,
2025-04-28,0,SELL,-1.0,312.4,1,
2025-04-29,0,HOLD,0.0,387.83,1,
2025-04-30,0,SELL,-1.0,321.45,1,
2025-05-01,0,SELL,-1.0,312.68,1,
2025-05-02,0,SELL,-1.0,392.06,1,
2025-05-03,0,SELL,-1.0,314.64,1,
2025-05-04,0,HOLD,0.0,300.39,1,
2025-05-05,0,SELL,-1.0,287.56,1,
2025-05-06,0,SELL,-1.0,301.43,1,
2025-05-07,0,HOLD,0.0,315.56,1,
2025-05-08,0,SELL,-1.0,296.67,1,
