date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,SELL,-1.0,369.05,1,
2025-04-10,0,SELL,-1.0,363.55,2,
2025-04-11,0,HOLD,0.0,298.52,1,
2025-04-12,0,HOLD,0.0,375.51,2,
2025-04-13,0,SELL,-1.0,387.85,1,
2025-04-14,0,HOLD,0.0,285.81,1,
2025-04-15,0,HOLD,0.0,359.64,1,
2025-04-16,0,SELL,-1.0,279.4,1,
2025-04-17,0,HOLD,0.0,295.52,1,
2025-04-18,0,HOLD,0.0,300.64,1,
2025-04-19,0,HOLD,0.0,296.64,1,
2025-04-20,0,HOLD,0.0,302.45,1,
2025-04-21,0,SELL,-1.0,297.81,1,
2025-04-22,0,HOLD,0.0,325.4,1,
2025-04-23,0,HOLD,0.0,385.3,1,
2025-04-24,0,SELL,-1.0,312.05,1,
2025-04-25,0,HOLD,0.0,323.87,1,
2025-04-26,0,HOLD,0.0,302.05,1,
2025-04-27,0,SELL,-1.0,408.65,1,
2025-04-28,0,HOLD,0.0,295.85,1,
2025-04-29,0,HOLD,0.0,279.29,1,
2025-04-30,0,HOLD,0.0,302.78,1,
2025-05-01,0,SELL,-1.0,283.74,1,
2025-05-02,0,HOLD,0.0,298.42,1,
2025-05-03,0,SELL,-1.0,265.69,1,
2025-05-04,0,HOLD,0.0,292.3,1,
2025-05-05,0,HOLD,0.0,338.67,1,
2025-05-06,0,HOLD,0.0,368.21,1,
2025-05-07,0,SELL,-1.0,344.3,1,
2025-05-08,0,HOLD,0.0,293.75,1,
