date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,HOLD,0.0,419.29,1,
2025-04-10,0,SELL,-1.0,286.16,1,
2025-04-11,0,HOLD,0.0,249.72,1,
2025-04-12,0,SELL,-1.0,346.94,1,
2025-04-13,0,SELL,-1.0,314.87,1,
2025-04-14,0,HOLD,0.0,269.08,1,
2025-04-15,0,HOLD,0.0,290.19,1,
2025-04-16,0,SELL,-1.0,338.05,1,
2025-04-17,0,HOLD,0.0,292.18,1,
2025-04-18,0,HOLD,0.0,282.04,1,
2025-04-19,0,SELL,-1.0,310.83,1,
2025-04-20,0,HOLD,0.0,322.19,1,
2025-04-21,0,HOLD,0.0,287.93,1,
2025-04-22,0,HOLD,0.0,286.22,1,
2025-04-23,0,SELL,-1.0,335.84,1,
2025-04-24,0,BUY,1.0,287.16,1,
2025-04-25,0,SELL,-1.0,289.01,1,
2025-04-26,0,SELL,-1.0,342.65,1,
2025-04-27,0,SELL,-1.0,323.65,1,
2025-04-28,0,SELL,-1.0,262.95,1,
2025-04-29,0,SELL,-1.0,384.81,1,
2025-04-30,0,HOLD,0.0,281.34,1,
2025-05-01,0,SELL,-1.0,303.0,1,
2025-05-02,0,SELL,-1.0,290.0,1,
2025-05-03,0,HOLD,0.0,312.81,1,
2025-05-04,0,HOLD,0.0,253.9,1,
2025-05-05,0,HOLD,0.0,296.14,1,
2025-05-06,0,HOLD,0.0,290.24,1,
2025-05-07,0,SELL,-1.0,276.43,1,
2025-05-08,0,SELL,-1.0,309.49,1,
