date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,HOLD,0.0,391.06,1,
2025-10-28,0,HOLD,0.0,309.98,1,
2025-10-29,0,HOLD,0.0,398.23,1,
2025-10-30,0,HOLD,0.0,324.75,1,
2025-10-31,0,SELL,-1.0,372.5,1,
2025-11-01,0,HOLD,0.0,368.13,1,
2025-11-02,0,HOLD,0.0,343.8,1,
2025-11-03,0,SELL,-1.0,331.99,1,
2025-11-04,0,HOLD,0.0,286.6,1,
2025-11-05,0,HOLD,0.0,265.63,1,
2025-11-06,0,HOLD,0.0,280.37,1,
2025-11-07,0,SELL,-1.0,397.89,1,
2025-11-08,0,HOLD,0.0,332.45,1,
2025-11-09,0,HOLD,0.0,389.76,1,
2025-11-10,0,HOLD,0.0,314.42,1,
2025-11-11,0,HOLD,0.0,364.57,1,
2025-11-12,0,HOLD,0.0,307.61,1,
2025-11-13,0,SELL,-1.0,295.21,1,
2025-11-14,0,HOLD,0.0,314.11,1,
2025-11-15,0,HOLD,0.0,297.29,1,
2025-11-16,0,SELL,-1.0,398.45,1,
2025-11-17,0,HOLD,0.0,379.89,1,
2025-11-18,0,SELL,-1.0,369.54,1,
2025-11-19,0,SELL,-1.0,292.54,1,
2025-11-20,0,HOLD,0.0,253.8,1,
2025-11-21,0,HOLD,0.0,286.66,1,
2025-11-22,0,HOLD,0.0,293.21,1,
2025-11-23,0,SELL,-1.0,298.21,1,
2025-11-24,0,HOLD,0.0,311.19,1,
2025-11-25,0,HOLD,0.0,278.56,1,
