date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,SELL,-1.0,354.82,1,
2025-10-28,0,HOLD,0.0,354.23,1,
2025-10-29,0,HOLD,0.0,266.42,1,
2025-10-30,0,HOLD,0.0,305.81,1,
2025-10-31,0,HOLD,0.0,299.14,1,
2025-11-01,0,SELL,-1.0,331.5,1,
2025-11-02,0,SELL,-1.0,332.17,1,
2025-11-03,0,HOLD,0.0,381.84,1,
2025-11-04,0,SELL,-1.0,433.9,2,
2025-11-05,0,HOLD,0.0,320.43,1,
2025-11-06,0,SELL,-1.0,411.04,1,
2025-11-07,0,SELL,-1.0,310.18,1,
2025-11-08,0,HOLD,0.0,299.34,1,
2025-11-09,0,SELL,-1.0,353.94,1,
2025-11-10,0,HOLD,0.0,308.54,1,
2025-11-11,0,SELL,-1.0,285.74,1,
2025-11-12,0,SELL,-1.0,307.11,1,
2025-11-13,0,SELL,-1.0,416.45,1,
2025-11-14,0,SELL,-1.0,330.0,1,
2025-11-15,0,HOLD,0.0,379.63,1,
2025-11-16,0,SELL,-1.0,313.87,1,
2025-11-17,0,HOLD,0.0,370.79,1,
2025-11-18,0,SELL,-1.0,315.4,1,
2025-11-19,0,SELL,-1.0,319.89,1,
2025-11-20,0,SELL,-1.0,325.27,1,
2025-11-21,0,HOLD,0.0,291.58,1,
2025-11-22,0,SELL,-1.0,331.51,1,
2025-11-23,0,HOLD,0.0,431.52,1,
2025-11-24,0,HOLD,0.0,338.7,1,
2025-11-25,0,SELL,-1.0,296.38,1,
