date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,HOLD,0.0,353.88,1,
2025-10-28,0,HOLD,0.0,425.23,1,
2025-10-29,0,HOLD,0.0,305.69,1,
2025-10-30,0,HOLD,0.0,350.61,1,
2025-10-31,0,HOLD,0.0,288.27,1,
2025-11-01,0,HOLD,0.0,275.23,1,
2025-11-02,0,HOLD,0.0,304.21,1,
2025-11-03,0,SELL,-1.0,307.87,1,
2025-11-04,0,HOLD,0.0,277.45,1,
2025-11-05,0,HOLD,0.0,334.43,1,
2025-11-06,0,SELL,-1.0,300.74,1,
2025-11-07,0,SELL,-1.0,328.89,1,
2025-11-08,0,HOLD,0.0,278.43,1,
2025-11-09,0,HOLD,0.0,322.76,1,
2025-11-10,0,SELL,-1.0,326.31,1,
2025-11-11,0,HOLD,0.0,302.3,1,
2025-11-12,0,HOLD,0.0,312.9,1,
2025-11-13,0,SELL,-1.0,378.82,1,
2025-11-14,0,SELL,-1.0,295.92,1,
2025-11-15,0,HOLD,0.0,308.4,1,
2025-11-16,0,SELL,-1.0,292.76,1,
2025-11-17,0,HOLD,0.0,376.84,1,
2025-11-18,0,HOLD,0.0,353.75,1,
2025-11-19,0,HOLD,0.0,313.71,1,
2025-11-20,0,HOLD,0.0,308.65,1,
2025-11-21,0,HOLD,0.0,348.4,1,
2025-11-22,0,SELL,-1.0,307.55,1,
2025-11-23,0,HOLD,0.0,297.93,1,
2025-11-24,0,HOLD,0.0,320.89,1,
2025-11-25,0,SELL,-1.0,278.88,1,
