date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,SELL,-1.0,400.78,1,
2025-10-28,0,HOLD,0.0,280.8,1,
2025-10-29,0,HOLD,0.0,306.55,1,
2025-10-30,0,HOLD,0.0,310.76,1,
2025-10-31,0,HOLD,0.0,311.54,1,
2025-11-01,0,SELL,-1.0,306.46,1,
2025-11-02,0,SELL,-1.0,294.89,1,
2025-11-03,0,SELL,-1.0,325.25,1,
2025-11-04,0,SELL,-1.0,327.6,1,
2025-11-05,0,HOLD,0.0,329.68,1,
2025-11-06,0,HOLD,0.0,322.51,1,
2025-11-07,0,HOLD,0.0,335.46,1,
2025-11-08,0,HOLD,0.0,272.38,1,
2025-11-09,0,SELL,-1.0,308.09,1,
2025-11-10,0,SELL,-1.0,332.65,1,
2025-11-11,0,HOLD,0.0,326.82,1,
2025-11-12,0,SELL,-1.0,324.1,1,
2025-11-13,0,HOLD,0.0,311.81,1,
2025-11-14,0,HOLD,0.0,382.97,1,
2025-11-15,0,HOLD,0.0,298.91,1,
2025-11-16,0,HOLD,0.0,383.76,1,
2025-11-17,0,SELL,-1.0,309.94,1,
2025-11-18,0,SELL,-1.0,395.33,1,
2025-11-19,0,HOLD,0.0,305.15,1,
2025-11-20,0,SELL,-1.0,313.35,1,
2025-11-21,0,SELL,-1.0,312.41,1,
2025-11-22,0,HOLD,0.0,436.52,1,
2025-11-23,0,HOLD,0.0,396.08,1,
2025-11-24,0,HOLD,0.0,306.26,1,
2025-11-25,0,HOLD,0.0,264.13,1,
