date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,HOLD,0.0,336.49,1,
2025-10-28,0,HOLD,0.0,275.1,1,
2025-10-29,0,HOLD,0.0,280.66,1,
2025-10-30,0,SELL,-1.0,291.98,1,
2025-10-31,0,SELL,-1.0,299.57,1,
2025-11-01,0,SELL,-1.0,298.69,1,
2025-11-02,0,SELL,-1.0,440.08,1,
2025-11-03,0,HOLD,0.0,341.3,1,
2025-11-04,0,HOLD,0.0,468.99,1,
2025-11-05,0,SELL,-1.0,331.41,1,
2025-11-06,0,HOLD,0.0,280.34,1,
2025-11-07,0,HOLD,0.0,278.19,1,
2025-11-08,0,SELL,-1.0,255.01,1,
2025-11-09,0,SELL,-1.0,304.61,1,
2025-11-10,0,HOLD,0.0,293.1,1,
2025-11-11,0,SELL,-1.0,290.3,1,
2025-11-12,0,SELL,-1.0,349.45,1,
2025-11-13,0,SELL,-1.0,288.01,1,
2025-11-14,0,HOLD,0.0,317.47,1,
2025-11-15,0,SELL,-1.0,325.34,1,
2025-11-16,0,SELL,-1.0,329.43,1,
2025-11-17,0,HOLD,0.0,280.41,1,
2025-11-18,0,SELL,-1.0,325.73,1,
2025-11-19,0,SELL,-1.0,339.58,1,
2025-11-20,0,SELL,-1.0,286.62,1,
2025-11-21,0,SELL,-1.0,298.19,1,
2025-11-22,0,SELL,-1.0,317.28,1,
2025-11-23,0,SELL,-1.0,293.04,1,
2025-11-24,0,SELL,-1.0,315.0,1,
2025-11-25,0,SELL,-1.0,321.6,2,
