date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,HOLD,0.0,331.34,1,
2025-10-28,0,HOLD,0.0,309.0,1,
2025-10-29,0,SELL,-1.0,407.16,1,
2025-10-30,0,SELL,-1.0,281.09,1,
2025-10-31,0,SELL,-1.0,322.43,1,
2025-11-01,0,HOLD,0.0,298.02,1,
2025-11-02,0,SELL,-1.0,312.06,1,
2025-11-03,0,HOLD,0.0,298.78,1,
2025-11-04,0,SELL,-1.0,278.67,1,
2025-11-05,0,TRIM,0.0,397.58,1,
2025-11-06,0,HOLD,0.0,284.66,1,
2025-11-07,0,HOLD,0.0,281.51,1,
2025-11-08,0,HOLD,0.0,323.74,1,
2025-11-09,0,HOLD,0.0,375.04,1,
2025-11-10,0,HOLD,0.0,297.56,1,
2025-11-11,0,SELL,-1.0,288.9,1,
2025-11-12,0,SELL,-1.0,396.2,1,
2025-11-13,0,SELL,-1.0,404.47,1,
2025-11-14,0,HOLD,0.0,299.61,1,
2025-11-15,0,HOLD,0.0,305.89,1,
2025-11-16,0,SELL,-1.0,301.52,1,
2025-11-17,0,HOLD,0.0,335.27,1,
2025-11-18,0,SELL,-1.0,307.95,1,
2025-11-19,0,HOLD,0.0,313.02,1,
2025-11-20,0,SELL,-1.0,394.43,1,
2025-11-21,0,HOLD,0.0,282.1,1,
2025-11-22,0,HOLD,0.0,309.76,1,
2025-11-23,0,HOLD,0.0,328.71,1,
2025-11-24,0,SELL,-1.0,386.19,1,
2025-11-25,0,HOLD,0.0,281.38,1,
