date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,SELL,-1.0,498.72,1,
2025-10-28,0,HOLD,0.0,285.28,1,
2025-10-29,0,HOLD,0.0,386.97,1,
2025-10-30,0,SELL,-1.0,313.51,1,
2025-10-31,0,HOLD,0.0,285.11,1,
2025-11-01,0,HOLD,0.0,285.02,1,
2025-11-02,0,SELL,-1.0,308.65,1,
2025-11-03,0,HOLD,0.0,387.76,1,
2025-11-04,0,SELL,-1.0,357.62,1,
2025-11-05,0,SELL,-1.0,310.31,1,
2025-11-06,0,HOLD,0.0,287.31,1,
2025-11-07,0,HOLD,0.0,291.7,1,
2025-11-08,0,SELL,-1.0,308.28,1,
2025-11-09,0,HOLD,0.0,277.33,1,
2025-11-10,0,HOLD,0.0,301.53,1,
2025-11-11,0,HOLD,0.0,277.15,1,
2025-11-12,0,HOLD,0.0,306.5,1,
2025-11-13,0,SELL,-1.0,377.14,1,
2025-11-14,0,SELL,-1.0,296.0,1,
2025-11-15,0,HOLD,0.0,375.96,1,
2025-11-16,0,SELL,-1.0,279.54,1,
2025-11-17,0,SELL,-1.0,331.57,1,
2025-11-18,0,SELL,-1.0,406.74,1,
2025-11-19,0,HOLD,0.0,302.59,1,
2025-11-20,0,HOLD,0.0,300.4,1,
2025-11-21,0,HOLD,0.0,310.44,1,
2025-11-22,0,SELL,-1.0,391.01,1,
2025-11-23,0,HOLD,0.0,261.77,1,
2025-11-24,0,HOLD,0.0,305.33,1,
2025-11-25,0,HOLD,0.0,371.11,1,
