date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,HOLD,0.0,282.32,1,
2025-10-28,0,SELL,-1.0,249.25,1,
2025-10-29,0,HOLD,0.0,295.23,1,
2025-10-30,0,SELL,-1.0,334.78,1,
2025-10-31,0,SELL,-1.0,285.5,1,
2025-11-01,0,HOLD,0.0,353.71,1,
2025-11-02,0,SELL,-1.0,260.86,1,
2025-11-03,0,SELL,-1.0,278.38,1,
2025-11-04,0,SELL,-1.0,284.71,1,
2025-11-05,0,HOLD,0.0,329.03,1,
2025-11-06,0,HOLD,0.0,303.46,1,
2025-11-07,0,HOLD,0.0,273.59,1,
2025-11-08,0,SELL,-1.0,316.74,1,
2025-11-09,0,HOLD,0.0,264.42,1,
2025-11-10,0,HOLD,0.0,278.24,1,
2025-11-11,0,SELL,-1.0,296.25,1,
2025-11-12,0,HOLD,0.0,283.26,1,
2025-11-13,0,HOLD,0.0,312.74,1,
2025-11-14,0,SELL,-1.0,317.34,1,
2025-11-15,0,HOLD,0.0,384.25,1,
2025-11-16,0,HOLD,0.0,308.49,1,
2025-11-17,0,HOLD,0.0,263.73,1,
2025-11-18,0,SELL,-1.0,315.82,1,
2025-11-19,0,SELL,-1.0,280.71,1,
2025-11-20,0,SELL,-1.0,294.06,1,
2025-11-21,0,SELL,-1.0,301.78,1,
2025-11-22,0,HOLD,0.0,269.84,1,
2025-11-23,0,SELL,-1.0,298.18,1,
2025-11-24,0,HOLD,0.0,294.29,1,
2025-11-25,0,HOLD,0.0,301.84,1,
