date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,HOLD,0.0,405.85,1,
2025-10-28,0,HOLD,0.0,378.71,1,
2025-10-29,0,HOLD,0.0,371.31,1,
2025-10-30,0,HOLD,0.0,349.98,1,
2025-10-31,0,HOLD,0.0,303.28,1,
2025-11-01,0,SELL,-1.0,296.11,1,
2025-11-02,0,HOLD,0.0,354.33,1,
2025-11-03,0,HOLD,0.0,294.61,1,
2025-11-04,0,HOLD,0.0,410.42,1,
2025-11-05,0,HOLD,0.0,348.96,1,
2025-11-06,0,SELL,-1.0,292.1,1,
2025-11-07,0,HOLD,0.0,361.21,1,
2025-11-08,0,HOLD,0.0,328.11,1,
2025-11-09,0,SELL,-1.0,415.12,1,
2025-11-10,0,HOLD,0.0,388.98,1,
2025-11-11,0,SELL,-1.0,284.75,1,
2025-11-12,0,SELL,-1.0,341.74,1,
2025-11-13,0,SELL,-1.0,360.14,1,
2025-11-14,0,SELL,-1.0,548.33,1,
2025-11-15,0,HOLD,0.0,363.27,1,
2025-11-16,0,SELL,-1.0,326.86,1,
2025-11-17,0,HOLD,0.0,334.53,1,
2025-11-18,0,SELL,-1.0,338.25,1,
2025-11-19,0,HOLD,0.0,353.78,1,
2025-11-20,0,SELL,-1.0,326.64,1,
2025-11-21,0,HOLD,0.0,333.58,1,
2025-11-22,0,HOLD,0.0,324.98,1,
2025-11-23,0,SELL,-1.0,531.51,1,
2025-11-24,0,SELL,-1.0,333.76,1,
2025-11-25,0,SELL,-1.0,409.69,1,
