date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,HOLD,0.0,493.24,1,
2025-10-28,0,SELL,-1.0,295.44,1,
2025-10-29,0,SELL,-1.0,303.6,1,
2025-10-30,0,HOLD,0.0,304.6,1,
2025-10-31,0,HOLD,0.0,481.49,1,
2025-11-01,0,HOLD,0.0,307.0,1,
2025-11-02,0,SELL,-1.0,296.51,1,
2025-11-03,0,SELL,-1.0,311.8,1,
2025-11-04,0,HOLD,0.0,282.03,1,
2025-11-05,0,SELL,-1.0,307.67,1,
2025-11-06,0,SELL,-1.0,384.8,1,
2025-11-07,0,SELL,-1.0,324.34,1,
2025-11-08,0,HOLD,0.0,293.87,1,
2025-11-09,0,HOLD,0.0,343.26,1,
2025-11-10,0,HOLD,0.0,442.56,1,
2025-11-11,0,SELL,-1.0,319.73,1,
2025-11-12,0,HOLD,0.0,362.48,1,
2025-11-13,0,SELL,-1.0,305.88,1,
2025-11-14,0,HOLD,0.0,323.35,1,
2025-11-15,0,SELL,-1.0,388.83,1,
2025-11-16,0,SELL,-1.0,388.79,1,
2025-11-17,0,HOLD,0.0,300.34,1,
2025-11-18,0,HOLD,0.0,374.97,1,
2025-11-19,0,SELL,-1.0,409.84,1,
2025-11-20,0,SELL,-1.0,247.47,2,
2025-11-21,0,HOLD,0.0,297.38,1,
2025-11-22,0,HOLD,0.0,308.76,1,
2025-11-23,0,HOLD,0.0,292.72,1,
2025-11-24,0,HOLD,0.0,298.9,1,
2025-11-25,0,SELL,-1.0,523.88,1,
