date,window_idx,decision_raw,position,latency_s,attempts,error
2025-10-27,0,,0.0,0.06,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-10-28,0,,0.0,0.05,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-10-29,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-10-30,0,,0.0,0.05,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-10-31,0,,0.0,0.07,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-01,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-02,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-03,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-04,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-05,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-06,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-07,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-08,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-09,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-10,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-11,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-12,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-13,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-14,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-15,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-16,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-17,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-18,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-19,0,,0.0,0.05,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-20,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-21,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-22,0,,0.0,0.05,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-23,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-24,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
2025-11-25,0,,0.0,0.04,3,"Error code: 404 - {'error': {'message': ""model 'qwen3:8b' not found"", 'type': 'not_found_error', 'param': None, 'code': None}}"
