date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,SELL,-1.0,756.15,1,
2025-04-10,0,HOLD,0.0,875.6,1,
2025-04-11,0,SELL,-1.0,1033.62,1,
2025-04-12,0,SELL,-1.0,636.77,1,
2025-04-13,0,HOLD,0.0,599.54,1,
2025-04-14,0,SELL,-1.0,1028.62,1,
2025-04-15,0,HOLD,0.0,922.94,1,
2025-04-16,0,SELL,-1.0,964.34,1,
2025-04-17,0,HOLD,0.0,749.08,1,
2025-04-18,0,HOLD,0.0,718.3,1,
2025-04-19,0,HOLD,0.0,728.6,1,
2025-04-20,0,HOLD,0.0,591.98,1,
2025-04-21,0,HOLD,0.0,705.15,1,
2025-04-22,0,HOLD,0.0,798.89,1,
2025-04-23,0,HOLD,0.0,530.06,1,
2025-04-24,0,HOLD,0.0,829.75,1,
2025-04-25,0,SELL,-1.0,957.09,1,
2025-04-26,0,SELL,-1.0,698.27,1,
2025-04-27,0,HOLD,0.0,776.8,1,
2025-04-28,0,HOLD,0.0,928.24,1,
2025-04-29,0,SELL,-1.0,743.05,1,
2025-04-30,0,HOLD,0.0,959.62,1,
2025-05-01,0,HOLD,0.0,748.03,1,
2025-05-02,0,SELL,-1.0,629.06,1,
2025-05-03,0,SELL,-1.0,623.14,1,
2025-05-04,0,SELL,-1.0,575.78,1,
2025-05-05,0,HOLD,0.0,794.49,1,
2025-05-06,0,,0.0,150.68,3,Connection error.
2025-05-07,0,,0.0,4.18,3,Connection error.
2025-05-08,0,,0.0,3.89,3,Connection error.
