date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,SELL,-1.0,389.98,1,
2025-04-10,0,SELL,-1.0,297.07,1,
2025-04-11,0,SELL,-1.0,360.25,1,
2025-04-12,0,HOLD,0.0,319.09,1,
2025-04-13,0,HOLD,0.0,312.85,1,
2025-04-14,0,HOLD,0.0,333.92,1,
2025-04-15,0,SELL,-1.0,324.72,1,
2025-04-16,0,HOLD,0.0,321.02,1,
2025-04-17,0,HOLD,0.0,374.57,1,
2025-04-18,0,HOLD,0.0,361.83,1,
2025-04-19,0,SELL,-1.0,265.05,1,
2025-04-20,0,HOLD,0.0,342.02,1,
2025-04-21,0,SELL,-1.0,303.78,1,
2025-04-22,0,HOLD,0.0,399.79,1,
2025-04-23,0,HOLD,0.0,297.95,1,
2025-04-24,0,SELL,-1.0,315.37,1,
2025-04-25,0,HOLD,0.0,342.99,1,
2025-04-26,0,HOLD,0.0,344.73,1,
2025-04-27,0,SELL,-1.0,380.68,1,
2025-04-28,0,HOLD,0.0,330.56,1,
2025-04-29,0,HOLD,0.0,396.73,1,
2025-04-30,0,SELL,-1.0,336.37,1,
2025-05-01,0,SELL,-1.0,294.51,1,
2025-05-02,0,SELL,-1.0,314.3,1,
2025-05-03,0,HOLD,0.0,356.23,1,
2025-05-04,0,HOLD,0.0,314.17,1,
2025-05-05,0,HOLD,0.0,302.62,1,
2025-05-06,0,SELL,-1.0,290.76,1,
2025-05-07,0,SELL,-1.0,296.16,1,
2025-05-08,0,SELL,-1.0,313.92,1,
