date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,HOLD,0.0,815.21,1,
2025-04-10,0,SELL,-1.0,648.55,1,
2025-04-11,0,SELL,-1.0,650.15,1,
2025-04-12,0,SELL,-1.0,765.05,1,
2025-04-13,0,SELL,-1.0,618.66,1,
2025-04-14,0,SELL,-1.0,612.74,1,
2025-04-15,0,HOLD,0.0,635.13,1,
2025-04-16,0,HOLD,0.0,705.36,1,
2025-04-17,0,HOLD,0.0,641.87,1,
2025-04-18,0,SELL,-1.0,950.82,1,
2025-04-19,0,HOLD,0.0,882.52,1,
2025-04-20,0,SELL,-1.0,956.84,1,
2025-04-21,0,SELL,-1.0,683.57,1,
2025-04-22,0,HOLD,0.0,625.11,1,
2025-04-23,0,HOLD,0.0,659.69,1,
2025-04-24,0,SELL,-1.0,791.74,1,
2025-04-25,0,HOLD,0.0,762.76,1,
2025-04-26,0,HOLD,0.0,854.04,1,
2025-04-27,0,HOLD,0.0,878.76,1,
2025-04-28,0,SELL,-1.0,636.17,1,
2025-04-29,0,HOLD,0.0,871.52,1,
2025-04-30,0,HOLD,0.0,624.2,1,
2025-05-01,0,SELL,-1.0,856.26,1,
2025-05-02,0,HOLD,0.0,761.67,1,
2025-05-03,0,SELL,-1.0,699.31,2,
2025-05-04,0,SELL,-1.0,576.1,1,
2025-05-05,0,HOLD,0.0,1238.64,2,
2025-05-06,0,SELL,-1.0,643.06,1,
2025-05-07,0,HOLD,0.0,649.43,1,
2025-05-08,0,SELL,-1.0,739.35,1,
