date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,HOLD,0.0,373.87,1,
2025-04-10,0,SELL,-1.0,264.24,1,
2025-04-11,0,HOLD,0.0,388.36,1,
2025-04-12,0,HOLD,0.0,320.35,1,
2025-04-13,0,HOLD,0.0,297.39,1,
2025-04-14,0,HOLD,0.0,364.71,1,
2025-04-15,0,HOLD,0.0,319.41,1,
2025-04-16,0,HOLD,0.0,281.61,1,
2025-04-17,0,SELL,-1.0,278.9,1,
2025-04-18,0,HOLD,0.0,324.77,1,
2025-04-19,0,SELL,-1.0,478.46,1,
2025-04-20,0,SELL,-1.0,310.69,1,
2025-04-21,0,HOLD,0.0,392.52,1,
2025-04-22,0,SELL,-1.0,287.0,1,
2025-04-23,0,HOLD,0.0,311.53,1,
2025-04-24,0,SELL,-1.0,357.54,1,
2025-04-25,0,HOLD,0.0,374.68,1,
2025-04-26,0,HOLD,0.0,358.28,1,
2025-04-27,0,SELL,-1.0,480.77,2,
2025-04-28,0,HOLD,0.0,281.33,1,
2025-04-29,0,HOLD,0.0,279.23,1,
2025-04-30,0,HOLD,0.0,286.14,1,
2025-05-01,0,SELL,-1.0,302.5,1,
2025-05-02,0,SELL,-1.0,316.8,1,
2025-05-03,0,HOLD,0.0,370.22,1,
2025-05-04,0,SELL,-1.0,254.6,1,
2025-05-05,0,SELL,-1.0,288.75,1,
2025-05-06,0,HOLD,0.0,375.36,1,
2025-05-07,0,HOLD,0.0,291.74,1,
2025-05-08,0,SELL,-1.0,299.91,1,
