date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,HOLD,0.0,360.12,1,
2025-04-10,0,SELL,-1.0,326.39,1,
2025-04-11,0,SELL,-1.0,322.69,1,
2025-04-12,0,HOLD,0.0,366.47,1,
2025-04-13,0,HOLD,0.0,289.76,1,
2025-04-14,0,SELL,-1.0,327.2,1,
2025-04-15,0,HOLD,0.0,296.61,1,
2025-04-16,0,HOLD,0.0,397.24,1,
2025-04-17,0,HOLD,0.0,297.12,1,
2025-04-18,0,HOLD,0.0,331.34,1,
2025-04-19,0,SELL,-1.0,382.51,1,
2025-04-20,0,HOLD,0.0,316.73,1,
2025-04-21,0,SELL,-1.0,289.66,1,
2025-04-22,0,HOLD,0.0,392.53,2,
2025-04-23,0,HOLD,0.0,314.15,1,
2025-04-24,0,SELL,-1.0,311.33,1,
2025-04-25,0,SELL,-1.0,314.25,1,
2025-04-26,0,HOLD,0.0,303.38,1,
2025-04-27,0,HOLD,0.0,306.8,1,
2025-04-28,0,HOLD,0.0,362.12,1,
2025-04-29,0,SELL,-1.0,312.04,1,
2025-04-30,0,SELL,-1.0,304.27,1,
2025-05-01,0,SELL,-1.0,306.05,1,
2025-05-02,0,HOLD,0.0,378.65,1,
2025-05-03,0,SELL,-1.0,379.97,1,
2025-05-04,0,HOLD,0.0,287.69,1,
2025-05-05,0,SELL,-1.0,293.87,1,
2025-05-06,0,HOLD,0.0,293.95,1,
2025-05-07,0,SELL,-1.0,310.27,1,
2025-05-08,0,HOLD,0.0,293.86,1,
