date,window_idx,decision_raw,position,latency_s,attempts,error
2025-04-09,0,SELL,-1.0,419.62,1,
2025-04-10,0,SELL,-1.0,299.66,1,
2025-04-11,0,SELL,-1.0,290.45,1,
2025-04-12,0,HOLD,0.0,337.43,1,
2025-04-13,0,SELL,-1.0,414.97,1,
2025-04-14,0,SELL,-1.0,346.8,1,
2025-04-15,0,HOLD,0.0,436.18,1,
2025-04-16,0,HOLD,0.0,292.29,1,
2025-04-17,0,SELL,-1.0,297.07,1,
2025-04-18,0,HOLD,0.0,415.12,1,
2025-04-19,0,HOLD,0.0,291.75,1,
2025-04-20,0,SELL,-1.0,264.87,1,
2025-04-21,0,SELL,-1.0,288.16,1,
2025-04-22,0,SELL,-1.0,278.21,1,
2025-04-23,0,SELL,-1.0,499.69,1,
2025-04-24,0,SELL,-1.0,312.23,1,
2025-04-25,0,SELL,-1.0,286.22,1,
2025-04-26,0,SELL,-1.0,371.93,1,
2025-04-27,0,HOLD,0.0,366.23,1,
2025-04-28,0,SELL,-1.0,250.02,1,
2025-04-29,0,HOLD,0.0,291.13,1,
2025-04-30,0,SELL,-1.0,259.75,1,
2025-05-01,0,SELL,-1.0,252.68,1,
2025-05-02,0,HOLD,0.0,321.86,1,
2025-05-03,0,SELL,-1.0,274.0,1,
2025-05-04,0,SELL,-1.0,376.16,1,
2025-05-05,0,SELL,-1.0,350.03,1,
2025-05-06,0,SELL,-1.0,290.46,1,
2025-05-07,0,SELL,-1.0,391.98,1,
2025-05-08,0,SELL,-1.0,279.79,1,
