date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,SELL,-1.0,409.86,1,
2025-01-02,0,HOLD,0.0,236.14,1,
2025-01-03,0,HOLD,0.0,232.97,1,
2025-01-04,0,SELL,-1.0,238.93,1,
2025-01-05,0,SELL,-1.0,220.23,1,
2025-01-06,0,BUY,1.0,243.56,1,
2025-01-07,0,HOLD,0.0,246.42,1,
2025-01-08,0,HOLD,0.0,283.53,1,
2025-01-09,0,SELL,-1.0,249.21,1,
2025-01-10,0,SELL,-1.0,223.63,1,
2025-01-11,0,HOLD,0.0,271.99,1,
2025-01-12,0,BUY,1.0,306.85,1,
2025-01-13,0,HOLD,0.0,276.22,1,
2025-01-14,0,HOLD,0.0,259.08,1,
2025-01-15,0,HOLD,0.0,261.71,1,
2025-01-16,0,HOLD,0.0,247.5,1,
2025-01-17,0,HOLD,0.0,321.54,1,
2025-01-18,0,HOLD,0.0,339.66,1,
2025-01-19,0,SELL,-1.0,273.61,1,
2025-01-20,0,SELL,-1.0,346.24,1,
2025-01-21,0,SELL,-1.0,353.05,1,
2025-01-22,0,HOLD,0.0,253.54,1,
2025-01-23,0,HOLD,0.0,281.81,1,
2025-01-24,0,SELL,-1.0,265.4,1,
2025-01-25,0,SELL,-1.0,239.16,1,
2025-01-26,0,HOLD,0.0,251.11,1,
2025-01-27,0,HOLD,0.0,336.12,1,
2025-01-28,0,SELL,-1.0,279.81,1,
2025-01-29,0,HOLD,0.0,317.42,1,
2025-01-30,0,HOLD,0.0,254.53,1,
2025-01-31,0,SELL,-1.0,273.72,1,
2025-02-01,0,HOLD,0.0,259.91,1,
2025-02-02,0,HOLD,0.0,334.02,1,
2025-02-03,0,SELL,-1.0,319.97,1,
2025-02-04,0,SELL,-1.0,317.83,1,
2025-02-05,0,HOLD,0.0,284.62,1,
2025-02-06,0,HOLD,0.0,294.43,1,
2025-02-07,0,HOLD,0.0,367.03,1,
2025-02-08,0,SELL,-1.0,289.4,1,
2025-02-09,0,HOLD,0.0,279.17,1,
2025-02-10,0,SELL,-1.0,249.02,1,
2025-02-11,0,SELL,-1.0,261.79,1,
2025-02-12,0,HOLD,0.0,329.91,1,
2025-02-13,0,HOLD,0.0,341.3,1,
2025-02-14,0,HOLD,0.0,281.01,1,
2025-02-15,0,HOLD,0.0,300.18,1,
2025-02-16,0,SELL,-1.0,350.54,1,
2025-02-17,0,HOLD,0.0,274.59,1,
2025-02-18,0,HOLD,0.0,391.75,1,
2025-02-19,0,HOLD,0.0,276.37,1,
2025-02-20,0,HOLD,0.0,315.03,1,
2025-02-21,0,HOLD,0.0,262.21,1,
2025-02-22,0,HOLD,0.0,260.29,1,
2025-02-23,0,SELL,-1.0,275.65,1,
2025-02-24,0,HOLD,0.0,287.87,1,
2025-02-25,0,SELL,-1.0,360.0,1,
2025-02-26,0,HOLD,0.0,280.22,1,
2025-02-27,0,SELL,-1.0,390.57,1,
2025-02-28,0,SELL,-1.0,248.61,1,
2025-03-01,0,HOLD,0.0,382.5,1,
2025-03-02,0,SELL,-1.0,383.03,1,
2025-03-03,0,HOLD,0.0,246.63,1,
2025-03-04,0,HOLD,0.0,274.5,1,
2025-03-05,0,HOLD,0.0,304.35,1,
2025-03-06,0,SELL,-1.0,254.96,1,
2025-03-07,0,HOLD,0.0,340.41,1,
2025-03-08,0,SELL,-1.0,313.69,1,
2025-03-09,0,HOLD,0.0,373.83,1,
2025-03-10,0,HOLD,0.0,262.09,1,
2025-03-11,0,SELL,-1.0,293.32,1,
2025-03-12,0,SELL,-1.0,269.56,1,
2025-03-13,0,HOLD,0.0,283.34,1,
2025-03-14,0,HOLD,0.0,237.52,1,
2025-03-15,0,HOLD,0.0,492.84,2,
2025-03-16,0,SELL,-1.0,241.1,1,
2025-03-17,0,SELL,-1.0,336.73,1,
2025-03-18,0,HOLD,0.0,245.17,1,
2025-03-19,0,HOLD,0.0,275.16,1,
2025-03-20,0,HOLD,0.0,320.42,1,
2025-03-21,0,SELL,-1.0,293.23,1,
2025-03-22,0,HOLD,0.0,411.08,1,
2025-03-23,0,BUY,1.0,318.12,1,
2025-03-24,0,HOLD,0.0,269.96,1,
2025-03-25,0,HOLD,0.0,252.75,1,
2025-03-26,0,HOLD,0.0,277.63,1,
2025-03-27,0,HOLD,0.0,261.75,1,
2025-03-28,0,HOLD,0.0,229.95,1,
2025-03-29,0,HOLD,0.0,261.02,1,
2025-03-30,0,SELL,-1.0,285.36,1,
2025-03-31,0,SELL,-1.0,359.55,1,
2025-04-01,0,SELL,-1.0,282.53,1,
2025-04-02,0,HOLD,0.0,261.98,1,
2025-04-03,0,SELL,-1.0,291.7,1,
2025-04-04,0,HOLD,0.0,251.86,1,
2025-04-05,0,HOLD,0.0,258.57,1,
2025-04-06,0,HOLD,0.0,262.87,1,
2025-04-07,0,SELL,-1.0,287.65,1,
2025-04-08,0,BUY,1.0,254.55,1,
2025-04-09,0,SELL,-1.0,275.87,1,
2025-04-10,0,BUY,1.0,238.28,1,
2025-04-11,0,HOLD,0.0,264.51,1,
2025-04-12,0,SELL,-1.0,260.93,1,
2025-04-13,0,HOLD,0.0,377.42,1,
2025-04-14,0,HOLD,0.0,365.74,1,
2025-04-15,0,SELL,-1.0,249.77,1,
2025-04-16,0,SELL,-1.0,352.15,1,
2025-04-17,0,SELL,-1.0,526.31,1,
2025-04-18,0,HOLD,0.0,337.66,1,
2025-04-19,0,HOLD,0.0,295.04,1,
2025-04-20,0,HOLD,0.0,324.67,1,
2025-04-21,0,SELL,-1.0,305.75,1,
2025-04-22,0,HOLD,0.0,262.93,1,
2025-04-23,0,SELL,-1.0,5354.33,1,
2025-04-24,0,HOLD,0.0,235.68,1,
2025-04-25,0,HOLD,0.0,271.34,1,
2025-04-26,0,HOLD,0.0,279.86,1,
2025-04-27,0,HOLD,0.0,363.35,2,
2025-04-28,0,HOLD,0.0,302.24,1,
2025-04-29,0,SELL,-1.0,249.86,1,
2025-04-30,0,HOLD,0.0,398.14,1,
2025-05-01,0,SELL,-1.0,265.55,1,
2025-05-02,0,SELL,-1.0,228.33,1,
2025-05-03,0,HOLD,0.0,366.03,1,
2025-05-04,0,HOLD,0.0,263.98,1,
2025-05-05,0,SELL,-1.0,263.55,1,
2025-05-06,0,HOLD,0.0,249.17,1,
2025-05-07,0,HOLD,0.0,237.91,1,
2025-05-08,0,HOLD,0.0,236.06,1,
2025-05-09,0,SELL,-1.0,253.87,1,
2025-05-10,0,SELL,-1.0,232.63,1,
2025-05-11,0,HOLD,0.0,266.41,1,
2025-05-12,0,SELL,-1.0,254.68,1,
2025-05-13,0,SELL,-1.0,272.15,1,
2025-05-14,0,HOLD,0.0,255.33,1,
2025-05-15,0,SELL,-1.0,326.45,1,
2025-05-16,0,HOLD,0.0,301.18,1,
2025-05-17,0,HOLD,0.0,264.43,1,
2025-05-18,0,HOLD,0.0,349.84,1,
2025-05-19,0,SELL,-1.0,348.5,1,
2025-05-20,0,SELL,-1.0,5305.16,1,
2025-05-21,0,HOLD,0.0,261.94,1,
2025-05-22,0,HOLD,0.0,314.59,2,
2025-05-23,0,HOLD,0.0,272.18,1,
2025-05-24,0,SELL,-1.0,356.97,1,
2025-05-25,0,SELL,-1.0,343.06,1,
2025-05-26,0,HOLD,0.0,315.45,1,
2025-05-27,0,SELL,-1.0,333.65,1,
2025-05-28,0,SELL,-1.0,224.93,1,
2025-05-29,0,SELL,-1.0,273.25,1,
2025-05-30,0,SELL,-1.0,342.32,1,
2025-05-31,0,HOLD,0.0,308.13,1,
2025-06-01,0,SELL,-1.0,230.14,1,
2025-06-02,0,HOLD,0.0,278.2,1,
2025-06-03,0,HOLD,0.0,278.82,1,
2025-06-04,0,SELL,-1.0,251.78,1,
2025-06-05,0,HOLD,0.0,386.64,1,
2025-06-06,0,SELL,-1.0,376.03,1,
2025-06-07,0,HOLD,0.0,259.98,1,
