date,window_idx,decision_raw,position,latency_s,attempts,error
2025-01-01,0,HOLD,0.0,508.76,1,
2025-01-02,0,HOLD,0.0,361.67,1,
2025-01-03,0,SELL,-1.0,383.27,1,
2025-01-04,0,HOLD,0.0,270.23,1,
2025-01-05,0,HOLD,0.0,272.6,1,
2025-01-06,0,SELL,-1.0,276.71,1,
2025-01-07,0,HOLD,0.0,258.66,1,
2025-01-08,0,SELL,-1.0,228.7,1,
2025-01-09,0,SELL,-1.0,371.11,1,
2025-01-10,0,SELL,-1.0,277.84,1,
2025-01-11,0,SELL,-1.0,313.92,1,
2025-01-12,0,SELL,-1.0,286.82,1,
2025-01-13,0,SELL,-1.0,297.49,1,
2025-01-14,0,SELL,-1.0,324.29,2,
2025-01-15,0,SELL,-1.0,255.97,1,
2025-01-16,0,HOLD,0.0,255.14,1,
2025-01-17,0,SELL,-1.0,462.24,1,
2025-01-18,0,HOLD,0.0,291.96,1,
2025-01-19,0,SELL,-1.0,386.19,1,
2025-01-20,0,HOLD,0.0,286.13,1,
2025-01-21,0,SELL,-1.0,291.41,1,
2025-01-22,0,SELL,-1.0,319.51,1,
2025-01-23,0,SELL,-1.0,282.98,1,
2025-01-24,0,HOLD,0.0,346.97,1,
2025-01-25,0,SELL,-1.0,377.64,1,
2025-01-26,0,HOLD,0.0,378.27,1,
2025-01-27,0,HOLD,0.0,301.56,1,
2025-01-28,0,SELL,-1.0,378.08,1,
2025-01-29,0,SELL,-1.0,390.43,1,
2025-01-30,0,HOLD,0.0,404.75,1,
2025-01-31,0,SELL,-1.0,294.61,1,
