date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,SELL,-1.0,402.6,1,
2025-02-25,0,HOLD,0.0,357.12,1,
2025-02-26,0,SELL,-1.0,329.89,1,
2025-02-27,0,SELL,-1.0,293.7,1,
2025-02-28,0,HOLD,0.0,315.38,1,
2025-03-01,0,HOLD,0.0,304.09,1,
2025-03-02,0,HOLD,0.0,318.81,1,
2025-03-03,0,SELL,-1.0,365.36,1,
2025-03-04,0,HOLD,0.0,340.7,1,
2025-03-05,0,HOLD,0.0,290.53,1,
2025-03-06,0,HOLD,0.0,349.74,1,
2025-03-07,0,SELL,-1.0,319.54,1,
2025-03-08,0,SELL,-1.0,304.36,1,
2025-03-09,0,HOLD,0.0,324.4,1,
2025-03-10,0,SELL,-1.0,327.27,1,
2025-03-11,0,HOLD,0.0,300.18,1,
2025-03-12,0,SELL,-1.0,300.91,1,
2025-03-13,0,HOLD,0.0,313.09,1,
2025-03-14,0,HOLD,0.0,329.41,1,
2025-03-15,0,SELL,-1.0,357.0,2,
2025-03-16,0,HOLD,0.0,314.55,1,
2025-03-17,0,HOLD,0.0,388.33,1,
2025-03-18,0,SELL,-1.0,322.95,1,
2025-03-19,0,HOLD,0.0,325.87,1,
2025-03-20,0,SELL,-1.0,361.71,1,
2025-03-21,0,SELL,-1.0,350.83,1,
2025-03-22,0,HOLD,0.0,324.39,1,
2025-03-23,0,HOLD,0.0,305.88,1,
2025-03-24,0,SELL,-1.0,297.02,1,
2025-03-25,0,SELL,-1.0,280.44,1,
