date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,SELL,-1.0,954.0,1,
2025-02-25,0,SELL,-1.0,575.91,1,
2025-02-26,0,HOLD,0.0,664.86,1,
2025-02-27,0,HOLD,0.0,552.07,1,
2025-02-28,0,SELL,-1.0,642.74,1,
2025-03-01,0,SELL,-1.0,648.17,1,
2025-03-02,0,HOLD,0.0,641.95,1,
2025-03-03,0,HOLD,0.0,672.87,1,
2025-03-04,0,HOLD,0.0,627.51,1,
2025-03-05,0,HOLD,0.0,958.37,1,
2025-03-06,0,SELL,-1.0,862.62,1,
2025-03-07,0,SELL,-1.0,1000.85,1,
2025-03-08,0,SELL,-1.0,662.42,1,
2025-03-09,0,HOLD,0.0,623.6,1,
2025-03-10,0,SELL,-1.0,695.63,1,
2025-03-11,0,HOLD,0.0,960.19,1,
2025-03-12,0,SELL,-1.0,750.27,1,
2025-03-13,0,SELL,-1.0,664.72,1,
2025-03-14,0,HOLD,0.0,714.66,1,
2025-03-15,0,HOLD,0.0,766.16,1,
2025-03-16,0,SELL,-1.0,877.4,1,
2025-03-17,0,HOLD,0.0,673.35,1,
2025-03-18,0,HOLD,0.0,1063.58,1,
2025-03-19,0,SELL,-1.0,747.15,1,
2025-03-20,0,SELL,-1.0,676.9,1,
2025-03-21,0,HOLD,0.0,601.97,1,
2025-03-22,0,HOLD,0.0,1048.83,1,
2025-03-23,0,HOLD,0.0,616.36,1,
2025-03-24,0,SELL,-1.0,647.13,1,
2025-03-25,0,HOLD,0.0,817.05,1,
