date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,SELL,-1.0,428.48,1,
2025-02-25,0,SELL,-1.0,305.02,1,
2025-02-26,0,HOLD,0.0,315.35,1,
2025-02-27,0,HOLD,0.0,398.36,1,
2025-02-28,0,HOLD,0.0,314.53,1,
2025-03-01,0,HOLD,0.0,400.21,1,
2025-03-02,0,HOLD,0.0,342.59,1,
2025-03-03,0,SELL,-1.0,418.61,2,
2025-03-04,0,SELL,-1.0,304.35,1,
2025-03-05,0,HOLD,0.0,392.7,1,
2025-03-06,0,SELL,-1.0,372.71,1,
2025-03-07,0,SELL,-1.0,327.44,1,
2025-03-08,0,SELL,-1.0,350.78,1,
2025-03-09,0,SELL,-1.0,307.19,1,
2025-03-10,0,SELL,-1.0,322.36,1,
2025-03-11,0,HOLD,0.0,492.8,1,
2025-03-12,0,HOLD,0.0,384.0,1,
2025-03-13,0,SELL,-1.0,431.87,1,
2025-03-14,0,SELL,-1.0,314.32,1,
2025-03-15,0,SELL,-1.0,296.72,1,
2025-03-16,0,HOLD,0.0,310.08,1,
2025-03-17,0,SELL,-1.0,281.87,1,
2025-03-18,0,HOLD,0.0,392.84,1,
2025-03-19,0,HOLD,0.0,341.54,1,
2025-03-20,0,HOLD,0.0,406.36,1,
2025-03-21,0,SELL,-1.0,363.13,1,
2025-03-22,0,HOLD,0.0,312.53,1,
2025-03-23,0,HOLD,0.0,293.82,1,
2025-03-24,0,HOLD,0.0,299.56,1,
2025-03-25,0,HOLD,0.0,318.08,1,
