date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,HOLD,0.0,269.69,1,
2025-02-25,0,SELL,-1.0,390.04,1,
2025-02-26,0,SELL,-1.0,318.62,1,
2025-02-27,0,HOLD,0.0,317.38,1,
2025-02-28,0,HOLD,0.0,295.28,1,
2025-03-01,0,HOLD,0.0,372.54,1,
2025-03-02,0,HOLD,0.0,312.8,1,
2025-03-03,0,HOLD,0.0,321.91,1,
2025-03-04,0,HOLD,0.0,367.92,1,
2025-03-05,0,HOLD,0.0,328.58,1,
2025-03-06,0,SELL,-1.0,289.7,1,
2025-03-07,0,SELL,-1.0,328.45,1,
2025-03-08,0,SELL,-1.0,306.05,1,
2025-03-09,0,HOLD,0.0,269.99,1,
2025-03-10,0,SELL,-1.0,305.08,1,
2025-03-11,0,HOLD,0.0,320.08,1,
2025-03-12,0,SELL,-1.0,342.85,2,
2025-03-13,0,HOLD,0.0,281.56,1,
2025-03-14,0,SELL,-1.0,295.26,1,
2025-03-15,0,SELL,-1.0,281.23,1,
2025-03-16,0,SELL,-1.0,312.77,1,
2025-03-17,0,HOLD,0.0,313.63,1,
2025-03-18,0,HOLD,0.0,283.97,1,
2025-03-19,0,HOLD,0.0,320.74,1,
2025-03-20,0,HOLD,0.0,286.22,1,
2025-03-21,0,HOLD,0.0,330.2,1,
2025-03-22,0,HOLD,0.0,314.22,1,
2025-03-23,0,SELL,-1.0,303.69,1,
2025-03-24,0,HOLD,0.0,330.93,1,
2025-03-25,0,SELL,-1.0,349.91,1,
