date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,BUY,1.0,444.07,2,
2025-02-25,0,HOLD,0.0,431.37,1,
2025-02-26,0,SELL,-1.0,379.49,1,
2025-02-27,0,SELL,-1.0,401.59,1,
2025-02-28,0,HOLD,0.0,321.26,1,
2025-03-01,0,HOLD,0.0,336.32,1,
2025-03-02,0,HOLD,0.0,307.61,2,
2025-03-03,0,BUY,1.0,294.11,1,
2025-03-04,0,HOLD,0.0,320.71,1,
2025-03-05,0,SELL,-1.0,409.38,1,
2025-03-06,0,SELL,-1.0,293.83,1,
2025-03-07,0,SELL,-1.0,355.1,1,
2025-03-08,0,HOLD,0.0,305.96,1,
2025-03-09,0,HOLD,0.0,285.27,1,
2025-03-10,0,HOLD,0.0,286.45,1,
2025-03-11,0,SELL,-1.0,335.07,1,
2025-03-12,0,SELL,-1.0,322.87,1,
2025-03-13,0,SELL,-1.0,311.65,1,
2025-03-14,0,HOLD,0.0,340.01,1,
2025-03-15,0,SELL,-1.0,274.83,1,
2025-03-16,0,SELL,-1.0,320.27,1,
2025-03-17,0,SELL,-1.0,288.84,1,
2025-03-18,0,SELL,-1.0,304.47,1,
2025-03-19,0,SELL,-1.0,370.7,1,
2025-03-20,0,SELL,-1.0,301.43,1,
2025-03-21,0,HOLD,0.0,366.16,1,
2025-03-22,0,BUY,1.0,258.68,1,
2025-03-23,0,SELL,-1.0,399.11,1,
2025-03-24,0,SELL,-1.0,566.39,1,
2025-03-25,0,HOLD,0.0,293.11,1,
