date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,SELL,-1.0,398.42,1,
2025-02-25,0,SELL,-1.0,380.19,1,
2025-02-26,0,HOLD,0.0,289.48,1,
2025-02-27,0,SELL,-1.0,275.36,1,
2025-02-28,0,SELL,-1.0,273.94,1,
2025-03-01,0,HOLD,0.0,287.2,1,
2025-03-02,0,HOLD,0.0,308.78,1,
2025-03-03,0,SELL,-1.0,298.83,1,
2025-03-04,0,HOLD,0.0,300.28,1,
2025-03-05,0,HOLD,0.0,392.98,1,
2025-03-06,0,SELL,-1.0,342.29,1,
2025-03-07,0,SELL,-1.0,303.02,1,
2025-03-08,0,HOLD,0.0,325.61,1,
2025-03-09,0,HOLD,0.0,303.41,1,
2025-03-10,0,SELL,-1.0,305.38,1,
2025-03-11,0,SELL,-1.0,285.47,1,
2025-03-12,0,HOLD,0.0,292.47,1,
2025-03-13,0,HOLD,0.0,336.36,1,
2025-03-14,0,HOLD,0.0,334.58,1,
2025-03-15,0,HOLD,0.0,306.14,1,
2025-03-16,0,SELL,-1.0,312.85,1,
2025-03-17,0,HOLD,0.0,273.02,1,
2025-03-18,0,HOLD,0.0,400.57,1,
2025-03-19,0,SELL,-1.0,291.23,1,
2025-03-20,0,SELL,-1.0,315.03,1,
2025-03-21,0,HOLD,0.0,356.59,1,
2025-03-22,0,BUY,1.0,326.01,1,
2025-03-23,0,SELL,-1.0,281.01,1,
2025-03-24,0,HOLD,0.0,319.72,1,
2025-03-25,0,SELL,-1.0,309.05,1,
