date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,HOLD,0.0,397.33,1,
2025-02-25,0,HOLD,0.0,314.11,1,
2025-02-26,0,HOLD,0.0,359.09,1,
2025-02-27,0,HOLD,0.0,320.38,1,
2025-02-28,0,HOLD,0.0,275.16,1,
2025-03-01,0,HOLD,0.0,307.87,1,
2025-03-02,0,SELL,-1.0,298.73,1,
2025-03-03,0,BUY,1.0,300.1,1,
2025-03-04,0,HOLD,0.0,272.86,1,
2025-03-05,0,HOLD,0.0,398.08,1,
2025-03-06,0,HOLD,0.0,294.44,1,
2025-03-07,0,SELL,-1.0,322.87,1,
2025-03-08,0,SELL,-1.0,299.96,1,
2025-03-09,0,HOLD,0.0,290.82,1,
2025-03-10,0,SELL,-1.0,442.52,2,
2025-03-11,0,HOLD,0.0,283.24,1,
2025-03-12,0,SELL,-1.0,265.59,1,
2025-03-13,0,SELL,-1.0,287.21,1,
2025-03-14,0,HOLD,0.0,355.3,1,
2025-03-15,0,HOLD,0.0,359.51,1,
2025-03-16,0,SELL,-1.0,285.22,1,
2025-03-17,0,SELL,-1.0,470.74,2,
2025-03-18,0,HOLD,0.0,376.34,1,
2025-03-19,0,HOLD,0.0,321.18,1,
2025-03-20,0,HOLD,0.0,300.82,1,
2025-03-21,0,HOLD,0.0,356.26,1,
2025-03-22,0,HOLD,0.0,377.38,1,
2025-03-23,0,HOLD,0.0,321.33,1,
2025-03-24,0,SELL,-1.0,294.66,1,
2025-03-25,0,HOLD,0.0,292.62,1,
