date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,SELL,-1.0,405.93,1,
2025-02-25,0,SELL,-1.0,291.1,1,
2025-02-26,0,SELL,-1.0,327.01,1,
2025-02-27,0,HOLD,0.0,337.8,1,
2025-02-28,0,SELL,-1.0,396.2,1,
2025-03-01,0,SELL,-1.0,357.24,1,
2025-03-02,0,SELL,-1.0,329.77,1,
2025-03-03,0,HOLD,0.0,321.74,1,
2025-03-04,0,SELL,-1.0,289.69,1,
2025-03-05,0,SELL,-1.0,292.56,1,
2025-03-06,0,SELL,-1.0,280.05,1,
2025-03-07,0,HOLD,0.0,298.75,1,
2025-03-08,0,SELL,-1.0,328.6,1,
2025-03-09,0,SELL,-1.0,302.26,1,
2025-03-10,0,SELL,-1.0,340.6,1,
2025-03-11,0,HOLD,0.0,297.37,1,
2025-03-12,0,SELL,-1.0,309.69,1,
2025-03-13,0,SELL,-1.0,282.09,1,
2025-03-14,0,HOLD,0.0,309.15,1,
2025-03-15,0,SELL,-1.0,284.91,1,
2025-03-16,0,SELL,-1.0,318.1,1,
2025-03-17,0,SELL,-1.0,315.87,1,
2025-03-18,0,HOLD,0.0,327.98,1,
2025-03-19,0,HOLD,0.0,304.42,1,
2025-03-20,0,SELL,-1.0,367.66,1,
2025-03-21,0,SELL,-1.0,309.8,1,
2025-03-22,0,HOLD,0.0,393.39,1,
2025-03-23,0,HOLD,0.0,298.86,1,
2025-03-24,0,HOLD,0.0,312.4,1,
2025-03-25,0,HOLD,0.0,357.08,1,
