date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,SELL,-1.0,403.66,1,
2025-02-25,0,SELL,-1.0,381.94,1,
2025-02-26,0,HOLD,0.0,329.74,1,
2025-02-27,0,SELL,-1.0,305.55,1,
2025-02-28,0,SELL,-1.0,313.29,1,
2025-03-01,0,SELL,-1.0,289.23,1,
2025-03-02,0,HOLD,0.0,296.37,1,
2025-03-03,0,SELL,-1.0,389.31,1,
2025-03-04,0,SELL,-1.0,335.61,1,
2025-03-05,0,HOLD,0.0,320.15,1,
2025-03-06,0,HOLD,0.0,312.38,1,
2025-03-07,0,HOLD,0.0,289.61,1,
2025-03-08,0,HOLD,0.0,302.82,1,
2025-03-09,0,SELL,-1.0,354.66,1,
2025-03-10,0,SELL,-1.0,269.85,1,
2025-03-11,0,SELL,-1.0,393.26,1,
2025-03-12,0,SELL,-1.0,290.4,1,
2025-03-13,0,SELL,-1.0,279.77,1,
2025-03-14,0,SELL,-1.0,308.08,1,
2025-03-15,0,HOLD,0.0,291.93,1,
2025-03-16,0,HOLD,0.0,309.26,1,
2025-03-17,0,HOLD,0.0,308.36,1,
2025-03-18,0,HOLD,0.0,300.92,1,
2025-03-19,0,SELL,-1.0,386.89,1,
2025-03-20,0,HOLD,0.0,348.81,1,
2025-03-21,0,HOLD,0.0,285.69,1,
2025-03-22,0,HOLD,0.0,313.05,1,
2025-03-23,0,HOLD,0.0,323.86,1,
2025-03-24,0,SELL,-1.0,302.88,1,
2025-03-25,0,HOLD,0.0,302.57,1,
