date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,HOLD,0.0,354.09,1,
2025-02-25,0,HOLD,0.0,399.93,1,
2025-02-26,0,HOLD,0.0,330.96,1,
2025-02-27,0,HOLD,0.0,302.05,1,
2025-02-28,0,SELL,-1.0,357.63,1,
2025-03-01,0,HOLD,0.0,317.73,1,
2025-03-02,0,SELL,-1.0,294.4,2,
2025-03-03,0,SELL,-1.0,309.64,1,
2025-03-04,0,HOLD,0.0,327.74,1,
2025-03-05,0,HOLD,0.0,279.93,1,
2025-03-06,0,SELL,-1.0,330.81,2,
2025-03-07,0,BUY,1.0,333.65,1,
2025-03-08,0,HOLD,0.0,285.96,1,
2025-03-09,0,HOLD,0.0,277.12,1,
2025-03-10,0,SELL,-1.0,326.48,1,
2025-03-11,0,HOLD,0.0,280.92,1,
2025-03-12,0,HOLD,0.0,323.09,1,
2025-03-13,0,HOLD,0.0,280.99,1,
2025-03-14,0,SELL,-1.0,319.23,1,
2025-03-15,0,SELL,-1.0,305.04,1,
2025-03-16,0,HOLD,0.0,264.92,1,
2025-03-17,0,HOLD,0.0,283.07,1,
2025-03-18,0,HOLD,0.0,292.17,1,
2025-03-19,0,HOLD,0.0,278.26,1,
2025-03-20,0,HOLD,0.0,299.95,1,
2025-03-21,0,SELL,-1.0,336.48,1,
2025-03-22,0,SELL,-1.0,283.6,1,
2025-03-23,0,HOLD,0.0,305.6,1,
2025-03-24,0,HOLD,0.0,292.1,1,
2025-03-25,0,HOLD,0.0,308.5,1,
