date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,SELL,-1.0,342.51,1,
2025-02-25,0,SELL,-1.0,309.6,1,
2025-02-26,0,HOLD,0.0,325.03,1,
2025-02-27,0,SELL,-1.0,336.49,1,
2025-02-28,0,HOLD,0.0,283.12,1,
2025-03-01,0,HOLD,0.0,288.66,1,
2025-03-02,0,SELL,-1.0,295.51,1,
2025-03-03,0,SELL,-1.0,293.19,1,
2025-03-04,0,SELL,-1.0,267.69,1,
2025-03-05,0,SELL,-1.0,396.17,1,
2025-03-06,0,SELL,-1.0,368.17,1,
2025-03-07,0,HOLD,0.0,291.12,1,
2025-03-08,0,HOLD,0.0,288.82,1,
2025-03-09,0,HOLD,0.0,280.64,1,
2025-03-10,0,HOLD,0.0,343.96,1,
2025-03-11,0,HOLD,0.0,293.9,1,
2025-03-12,0,HOLD,0.0,296.41,1,
2025-03-13,0,HOLD,0.0,325.98,1,
2025-03-14,0,SELL,-1.0,345.57,2,
2025-03-15,0,HOLD,0.0,312.34,1,
2025-03-16,0,SELL,-1.0,315.68,1,
2025-03-17,0,HOLD,0.0,308.18,1,
2025-03-18,0,HOLD,0.0,314.15,1,
2025-03-19,0,HOLD,0.0,298.05,1,
2025-03-20,0,SELL,-1.0,334.72,1,
2025-03-21,0,HOLD,0.0,302.32,1,
2025-03-22,0,HOLD,0.0,266.19,1,
2025-03-23,0,SELL,-1.0,272.37,1,
2025-03-24,0,SELL,-1.0,297.09,1,
2025-03-25,0,SELL,-1.0,313.31,1,
