date,window_idx,decision_raw,position,latency_s,attempts,error
2025-02-24,0,SELL,-1.0,359.28,1,
2025-02-25,0,SELL,-1.0,303.95,1,
2025-02-26,0,HOLD,0.0,279.11,1,
2025-02-27,0,HOLD,0.0,359.3,1,
2025-02-28,0,SELL,-1.0,283.34,1,
2025-03-01,0,HOLD,0.0,294.59,1,
2025-03-02,0,SELL,-1.0,269.81,1,
2025-03-03,0,SELL,-1.0,284.96,1,
2025-03-04,0,SELL,-1.0,287.16,1,
2025-03-05,0,SELL,-1.0,277.06,1,
2025-03-06,0,SELL,-1.0,324.72,1,
2025-03-07,0,SELL,-1.0,378.83,1,
2025-03-08,0,SELL,-1.0,301.67,1,
2025-03-09,0,HOLD,0.0,421.98,1,
2025-03-10,0,SELL,-1.0,315.47,1,
2025-03-11,0,HOLD,0.0,362.55,1,
2025-03-12,0,SELL,-1.0,282.17,1,
2025-03-13,0,HOLD,0.0,269.38,1,
2025-03-14,0,SELL,-1.0,292.93,1,
2025-03-15,0,SELL,-1.0,287.11,1,
2025-03-16,0,HOLD,0.0,354.4,1,
2025-03-17,0,HOLD,0.0,380.02,1,
2025-03-18,0,SELL,-1.0,338.27,1,
2025-03-19,0,SELL,-1.0,284.17,1,
2025-03-20,0,HOLD,0.0,322.65,1,
2025-03-21,0,SELL,-1.0,271.89,1,
2025-03-22,0,SELL,-1.0,265.65,1,
2025-03-23,0,SELL,-1.0,342.4,1,
2025-03-24,0,SELL,-1.0,270.75,1,
2025-03-25,0,SELL,-1.0,287.58,1,
