symbol,window_idx,window_start,window_end,decision_raw,position,latency_s,attempts,error
ETH-USD,0,2023-01-01,2023-02-14,HOLD,0.0,277.11,1,
ETH-USD,1,2023-02-15,2023-03-31,HOLD,0.0,263.8,1,
ETH-USD,2,2023-04-01,2023-05-15,SELL,-1.0,292.3,1,
ETH-USD,3,2023-05-16,2023-06-29,SELL,-1.0,307.48,1,
ETH-USD,4,2023-06-30,2023-08-13,HOLD,0.0,367.03,1,
ETH-USD,5,2023-08-14,2023-09-27,SELL,-1.0,276.91,1,
ETH-USD,6,2023-09-28,2023-11-11,HOLD,0.0,289.09,1,
ETH-USD,7,2023-11-12,2023-12-26,HOLD,0.0,321.9,1,
ETH-USD,8,2023-12-27,2024-02-09,SELL,-1.0,320.63,1,
ETH-USD,9,2024-02-10,2024-03-25,SELL,-1.0,300.22,1,
ETH-USD,10,2024-03-26,2024-05-09,SELL,-1.0,269.77,1,
ETH-USD,11,2024-05-10,2024-06-23,SELL,-1.0,303.03,1,
ETH-USD,12,2024-06-24,2024-08-07,SELL,-1.0,287.74,1,
ETH-USD,13,2024-08-08,2024-09-21,HOLD,0.0,289.63,1,
ETH-USD,14,2024-09-22,2024-11-05,HOLD,0.0,266.47,1,
ETH-USD,15,2024-11-06,2024-12-20,SELL,-1.0,265.0,1,
ETH-USD,16,2024-12-21,2025-02-03,SELL,-1.0,285.57,1,
ETH-USD,17,2025-02-04,2025-03-20,SELL,-1.0,277.33,1,
ETH-USD,18,2025-03-21,2025-05-04,SELL,-1.0,302.87,1,
ETH-USD,19,2025-05-05,2025-06-18,SELL,-1.0,414.99,1,
ETH-USD,20,2025-06-19,2025-08-02,SELL,-1.0,367.05,1,
ETH-USD,21,2025-08-03,2025-09-16,SELL,-1.0,291.76,1,
ETH-USD,22,2025-09-17,2025-10-31,HOLD,0.0,281.67,1,
ETH-USD,23,2025-11-01,2025-12-15,HOLD,0.0,306.51,1,
ETH-USD,24,2025-12-16,2025-12-31,HOLD,0.0,331.5,1,
